Composition_Formula,Entropy_of_Formation_JperMolH2perK,Heat_of_Formation_kJperMolH2,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,Material_Class,Hydrogen_Weight_Percent,Temperature_oC,Pressure_Atmospheres_Absolute,Reference
V75Ti17.5Zr7.5,145.1,52.98,0.021249848,-3.851405525,,3.2,,,10.1016/j.jallcom.2005.01.139
LaNi4.7Sn0.3,112.6,36.51,0.320558835,-1.137689446,,1.5,,,10.1016 / S0925-8388(03)00352-9
V75Ti10Zr7.5Cr7.5,132.3,42.23,0.343601398,-1.068273019,,3.2,,,10.1016/j.jallcom.2005.01.139
LaNi4.8Sn0.2,104.3,32.83,0.518801844,-0.656233272,,1.3,,,10.1016/j.jallcom.2005.01.029
LaNi4.8Al0.2,101.6,30.4,0.996152949,-0.00385447,,1.3,,,10.1016/S0925-8388(99)00173-5
V0.85Ti0.1Fe0.05,148,42.9,1.734454519,0.550692966,,3.4,,,10.1016/0022-5088(87)90526-1
TiFe0.9Mn0.1,107.7,29.7,2.749244481,1.01132614,,,,,10.1016/0022-5088(80)90182-4
La0.85Ce0.15Ni5,92.28,24.3,3.773595219,1.328028186,,,,,
V92.5Zr7.5,147,40.32,4.339950546,1.467862953,,3,,,10.1016/j.jallcom.2005.01.139
La0.2Y0.8Ni4.6Mn0.4,105,27.1,5.65230817,1.732063987,,1.3,,,10.1016/j.ijhydene.2009.12.020
Zr0.7Ti0.3Mn2,85,21,5.926100553,1.779366417,,1.4,,,10.1016/S0894-1777(98)10007-9
Ti0.9Zr0.1Mn1.4Cr0.35V0.2Fe0.05,106.9,25.89,11.55536386,2.447149733,,,,,10.1007/s12598-011-0373-7
La0.4Ce0.4Ca0.2Ni5,115.3,28.2,12.53613086,2.528614944,,,,,10.1016/j.matlet.2006.06.056
Ti0.8Zr0.2CrMn,108.6,24.6,23.81578583,3.170348631,,,,,10.4028/www.scientific.net/MSF.31.1
Zr0.8Ti0.2FeNi0.8V0.2,118.3,26.8,31.57636591,3.452408926,,2.5,,,10.1016/j.jallcom.2011.01.198
Ti0.77Zr0.3Cr0.85Fe0.7Mn0.25Ni0.2Cu0.03,93.66,19.26,33.80666249,3.520657898,,,,,
TiCr1.9Mo0.01,113,24.8,37.30599485,3.619154034,,2.2,,,10.1016/j.jallcom.2011.01.198
TiCr1.9,122,26.19,62.974491,4.14272974,,2.5,,,10.1016/j.jallcom.2011.01.198
ZrFe1.8Cr0.2,109,22.3,63.01154205,4.143317917,,1.8,,,10.1016/j.jallcom.2011.01.198
(Ti0.97Zr0.03)1.1Cr1.6Mn0.4,115,23.4,83.318363,4.422668969,,1.55,,,10.1016/j.jallcom.2005.11.001
TiCr1.5Mn0.25Fe0.25,101.6,19.32,85.75949534,4.451546813,,,,,10.1007/s12598-011-0373-7
TiCr1.5Mn0.2Fe0.3,101,18.32,119.2821164,4.781491413,,,,,10.1007/s12598-011-0373-7
TiCrMn,106,19.6,130.0843717,4.868183253,,2.1,,,10.1016/S0925-8388(99)00798-7
ZrFe1.8Ni0.2,119.7,21.5,314.8175759,5.751993347,,1.7,,,10.1016/j.jallcom.2011.01.198
Ti0.86Mo0.14Cr1.9,117,17.2,1282.185912,7.156321644,,2.4,,,10.1016/j.jallcom.2011.01.198
