,No,Species,Ef
0,1.0,,
1,2.0,,
2,3.0,Li,-0.482520472643333
3,4.0,Be,-0.14915786185777768
4,5.0,B,-0.17470070349099914
5,6.0,C,-0.3771410948959996
6,7.0,N,-0.5431238783099994
7,8.0,O,-1.3887052844966667
8,9.0,F,-1.786034339905
9,11.0,Na,-0.2667172818100001
10,12.0,Mg,-0.27816444352444475
11,13.0,Al,-0.1214407852149999
12,14.0,Si,-0.1278120748844442
13,15.0,P,0.09954398326714298
14,16.0,S,-0.47191821595499955
15,17.0,Cl,-0.8825526934400001
16,18.0,Ar,
17,19.0,K,-0.26493946080999997
18,20.0,Ca,-0.658717047413333
19,21.0,Sc,-0.7666489907466664
20,22.0,Ti,-0.5854989924133326
21,23.0,V,-0.3057588590799997
22,24.0,Cr,-0.0449807693099995
23,25.0,Mn,-0.013176195394840585
24,26.0,Fe,-0.05583207430999959
25,27.0,Co,-0.023855045724000233
26,28.0,Ni,-0.11192773930999955
27,29.0,Cu,0.06166470819000036
28,30.0,Zn,0.05120330761142914
29,31.0,Ga,0.36966123069000023
30,32.0,Ge,-0.009846277396000146
31,33.0,As,0.74847049666
32,34.0,Se,0.700591136805417
33,35.0,Br,-0.32805170680999973
34,36.0,Kr,
35,37.0,Rb,-0.22367373805999957
36,38.0,Sr,-0.6352881254688884
37,39.0,Y,-0.7990425135244443
38,40.0,Zr,-0.6524001157466662
39,41.0,Nb,-0.3228684524133338
40,42.0,Mo,0.4069713956900003
41,43.0,Tc,0.6761299203449997
42,44.0,Ru,
43,45.0,Rh,-0.030427739309999424
44,46.0,Pd,-0.16125029680999958
45,47.0,Ag,0.13389023152333346
46,48.0,Cd,0.3817748956900002
47,49.0,In,0.3908480231900002
48,50.0,Sn,0.06762790910400014
49,51.0,Sb,0.7027473797849999
50,52.0,Te,
51,53.0,I,-0.06385411368500016
52,54.0,Xe,
53,55.0,Cs,-0.2095827032755171
54,56.0,Ba,-0.5890339565799998
55,57.0,La,-0.7272055174133332
56,58.0,Ce,-0.6211473232999997
57,59.0,Pr,-0.7075902974133333
58,60.0,Nd,-0.723815632413333
59,61.0,Pm,-0.6261403358399997
60,62.0,Sm,-0.7505692601911106
61,63.0,Eu,-0.6236447490800003
62,64.0,Gd,-0.7624351990799999
63,65.0,Tb,-0.7835562857466662
64,66.0,Dy,-0.7873806990799999
65,67.0,Ho,-0.7893155124133333
66,68.0,Er,-0.7883337857466662
67,69.0,Tm,-0.7870249301911111
68,70.0,Yb,-0.704122456302222
69,71.0,Lu,-0.77671540908
70,72.0,Hf,-0.5799811424133333
71,73.0,Ta,-0.1984715528733325
72,74.0,W,0.015427674104000033
73,75.0,Re,0.39332708353499957
74,76.0,Os,0.8998928828450001
75,77.0,Ir,0.3477321731899998
76,78.0,Pt,0.21801304843733363
77,79.0,Au,
78,80.0,Hg,
79,81.0,Tl,0.36940194069
80,82.0,Pb,0.4065973581900004
81,83.0,Bi,0.6562166435350001
82,84.0,,
83,85.0,,
84,86.0,,
85,87.0,,
86,88.0,,
87,89.0,Ac,-0.660614839913333
88,90.0,Th,-0.5819293465421052
89,91.0,Pa,-0.4650941311524992
90,92.0,U,-0.3776582527149994
91,93.0,Np,-0.3479156386525002
92,94.0,Pu,-0.473698685215
93,,,
