No,Species,Ef
1,,
2,,
3,Li,-0.41
4,Be,-0.04
5,B,-0.08
6,C,-0.14
7,N,-0.37
8,O,-1.18
9,F,-1.62
11,Na,-0.25
12,Mg,-0.18
13,Al,-0.01
14,Si,0.03
15,P,0.63
16,S,-0.24
17,Cl,-0.67
18,Ar,0
19,K,-0.2
20,Ca,-0.57
21,Sc,-0.67
22,Ti,-0.49
23,V,-0.2
24,Cr,0.02
25,Mn,0.24
26,Fe,0
27,Co,0.16
28,Ni,-0.05
29,Cu,0.13
30,Zn,0.41
31,Ga,0.36
32,Ge,0.12
33,As,0.68
34,Se,0.79
35,Br,-0.39
36,Kr,0
37,Rb,-0.16
38,Sr,-0.54
39,Y,-0.7
40,Zr,-0.56
41,Nb,-0.23
42,Mo,0.4
43,Tc,0.47
44,Ru,0.45
45,Rh,0.04
46,Pd,-0.07
47,Ag,0.58
48,Cd,0.46
49,In,0.4
50,Sn,0.19
51,Sb,0.59
52,Te,0.74
53,I,-0.07
54,Xe,0
55,Cs,-0.16
56,Ba,-0.49
57,La,-0.63
58,Ce,-0.59
59,Pr,-0.61
60,Nd,-0.63
61,Pm,-0.52
62,Sm,-0.65
63,Eu,-0.64
64,Gd,-0.68
65,Tb,-0.47
66,Dy,-0.69
67,Ho,-0.69
68,Er,-0.69
69,Tm,-0.69
70,Yb,0.62
71,Lu,-0.68
72,Hf,-0.49
73,Ta,-0.15
74,W,0.62
75,Re,0.73
76,Os,0.73
77,Ir,0.52
78,Pt,0.54
79,Au,0.58
80,Hg,0.57
81,Tl,0.46
82,Pb,0.44
83,Bi,0.53
84,,
85,,
86,,
87,,
88,,
89,Ac,-0.57
90,Th,-0.48
91,Pa,-0.36
92,U,-0.27
93,Np,-0.22
94,Pu,-0.36
,,
