,Item_No,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Author_Year,Reference_Number,Comment1,Comment2,Comment3,Original_Composition_Formula,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,energy_per_atom,formation_energy_per_atom,nsites,density,volume,volume_ps,empty_volume_ps
1,5,A2B,Th2Al,0.8,130,500,0.001,"Van Vucht, 1963",492.0,,,,Th2Al,110.71113411383678,1.0167358951774123e-17,-39.127349187648704,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,64.33333333333333,77,34.22222222222222,90,13,90.0,35.0,57,25.333333333333332,73,16,16.0,163.6858862,205.0565214,91.13623173333333,232.03806,26.9815386,232.03806,1659.8233333333333,1089.53,484.23555555555555,2023.0,933.47,2023.0,6.333333333333333,10,4.444444444444445,13,3,3.0,5.666666666666666,4,1.777777777777778,7,3,7.0,177.66666666666663,85,37.777777777777786,206,121,206.0,1.4033333333333333,0.31000000000000005,0.13777777777777778,1.61,1.3,1.3,2.0,0,0.0,2,2,2.0,0.3333333333333333,1,0.4444444444444444,1,0,0.0,1.3333333333333333,2,0.8888888888888888,2,0,2.0,0.0,0,0.0,0,0,0.0,3.6666666666666665,1,0.4444444444444445,4,3,4.0,0.0,0,0.0,0,0,0.0,1.6666666666666665,5,2.2222222222222223,5,0,0.0,5.333333333333333,8,3.5555555555555554,8,0,8.0,0.0,0,0.0,0,0,0.0,7.0,3,1.3333333333333333,8,5,8.0,27.07333333333333,15.889999999999997,7.062222222222221,32.37,16.48,32.37,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0,0.0,225,225,225.0,0.5454545454545454,0.0909090909090909,0.3636363636363636,0.0,0,0.02373869707974785,0.010550532035443488,-6.424298116666667,-0.23419571000000042,6.0,9.649538183850856,169.00713743191397,28.16785623865233,0.8339743176367838
2,18,A2B,Ti2Cu,2.2,130,500,0.12,"Kadel, 1978",523.0,,,,Ti2Cu (M),150.51510167451383,1.2200830742128935e-15,-34.33985744486666,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,24.333333333333332,7,3.1111111111111107,29,22,22.0,50.0,21,9.333333333333332,64,43,43.0,53.093333333333334,15.679000000000002,6.9684444444444456,63.546,47.867,47.867,1746.59,583.23,259.21333333333337,1941.0,1357.77,1941.0,6.333333333333333,7,3.1111111111111107,11,4,4.0,4.0,0,0.0,4,4,4.0,150.66666666666666,28,12.444444444444446,160,132,160.0,1.66,0.3599999999999999,0.15999999999999992,1.9,1.54,1.54,1.6666666666666665,1,0.4444444444444445,2,1,2.0,0.0,0,0.0,0,0,0.0,4.666666666666666,8,3.5555555555555554,10,2,2.0,0.0,0,0.0,0,0,0.0,6.333333333333333,7,3.1111111111111107,11,4,4.0,0.3333333333333333,1,0.4444444444444444,1,0,0.0,0.0,0,0.0,0,0,0.0,5.333333333333333,8,3.5555555555555554,8,0,8.0,0.0,0,0.0,0,0,0.0,5.666666666666666,7,3.111111111111111,8,1,8.0,14.816666666666666,5.620000000000001,2.4977777777777783,16.69,11.07,16.69,0.0,0.0,0.0,0.0,0,0,1.50222222222e-05,2.25333333333e-05,1.0014814814799999e-05,2.25333333333e-05,0.0,2.25333333333e-05,204.33333333333331,31,13.777777777777771,225,194,194.0,0.26315789473684215,0.0,0.736842105263158,0.0,0,0.031880743083437246,0.01416921914819433,-6.74788366,-0.11670133444444512,3.0,5.722176776497968,46.22203553331518,15.407345177771726,0.9298488048546073
3,38,A2B,Zr2Cu,1.3,144,600,0.003,"Pebler, 1966",12.0,,,,Zr2Cu (M),116.6219783432098,7.297612026554459e-20,-44.064154684891946,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,36.33333333333333,11,4.88888888888889,40,29,40.0,50.666666666666664,20,8.888888888888888,64,44,44.0,81.998,27.678000000000004,12.301333333333334,91.224,63.546,91.224,1871.2566666666664,770.23,342.3244444444445,2128.0,1357.77,2128.0,6.333333333333333,7,3.1111111111111107,11,4,4.0,4.666666666666666,1,0.44444444444444464,5,4,5.0,160.66666666666666,43,19.111111111111114,175,132,175.0,1.52,0.5699999999999998,0.25333333333333324,1.9,1.33,1.33,1.6666666666666665,1,0.4444444444444445,2,1,2.0,0.0,0,0.0,0,0,0.0,4.666666666666666,8,3.5555555555555554,10,2,2.0,0.0,0,0.0,0,0,0.0,6.333333333333333,7,3.1111111111111107,11,4,4.0,0.3333333333333333,1,0.4444444444444444,1,0,0.0,0.0,0,0.0,0,0,0.0,5.333333333333333,8,3.5555555555555554,8,0,8.0,0.0,0,0.0,0,0,0.0,5.666666666666666,7,3.111111111111111,8,1,8.0,19.153333333333332,12.125,5.388888888888889,23.195,11.07,23.195,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,204.33333333333331,31,13.777777777777771,225,194,194.0,0.26315789473684215,0.0,0.736842105263158,0.0,0,0.07801377879468974,0.03467279057541766,-7.200612166666667,-0.13583343666666772,3.0,6.968515843312083,58.61831267812849,19.539437559376164,0.8891067378064701
5,44,A2B,Zr2Ni,1.3,183,604,0.003,"Pebler, 1966",12.0,,,,Zr2Ni,160.33208440571488,2.0589571985646473e-24,-54.53984259151432,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,36.0,12,5.333333333333333,40,28,40.0,49.666666666666664,17,7.5555555555555545,61,44,44.0,80.38046666666666,32.53060000000001,14.458044444444448,91.224,58.6934,91.224,1994.6666666666665,400.0,177.77777777777783,2128.0,1728.0,2128.0,6.0,6,2.6666666666666665,10,4,4.0,4.666666666666666,1,0.44444444444444464,5,4,5.0,158.0,51,22.666666666666664,175,124,175.0,1.5233333333333334,0.5799999999999998,0.2577777777777777,1.91,1.33,1.33,2.0,0,0.0,2,2,2.0,0.0,0,0.0,0,0,0.0,4.0,6,2.6666666666666665,8,2,2.0,0.0,0,0.0,0,0,0.0,6.0,6,2.6666666666666665,10,4,4.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,6.0,6,2.6666666666666665,8,2,8.0,0.0,0,0.0,0,0,0.0,6.0,6,2.6666666666666665,8,2,8.0,18.903333333333332,12.875,5.722222222222222,23.195,10.32,23.195,0.0,0.0,0.0,0.0,0,0,0.1984649,0.5953947,0.2646198666666667,0.5953947,0.0,0.0,204.33333333333331,31,13.777777777777771,225,194,194.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0,0.08066068243348179,0.03584919219265857,-7.947993023333333,-0.32262036666666677,6.0,7.189327528366127,111.39420405603859,18.565700676006433,0.8899149974756221
22,117,A2B,Mg2Ni,3.6,64.5,299,3.2,"Reilly, 1968",88.0,,,,Mg2Ni,122.40329577151846,1.2401578620850435e-05,-11.297686785323176,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,17.333333333333332,16,7.111111111111111,28,12,12.0,65.66666666666666,7,3.1111111111111143,68,61,68.0,35.767799999999994,34.3884,15.28373333333333,58.6934,24.305,24.305,1191.3333333333333,805.0,357.7777777777777,1728.0,923.0,923.0,4.666666666666666,8,3.5555555555555554,10,2,2.0,3.333333333333333,1,0.4444444444444443,4,3,3.0,135.33333333333331,17,7.555555555555562,141,124,141.0,1.5099999999999998,0.5999999999999999,0.2666666666666665,1.91,1.31,1.31,2.0,0,0.0,2,2,2.0,0.0,0,0.0,0,0,0.0,2.6666666666666665,8,3.5555555555555554,8,0,0.0,0.0,0,0.0,0,0,0.0,4.666666666666666,8,3.5555555555555554,10,2,2.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.6666666666666666,2,0.8888888888888888,2,0,0.0,0.0,0,0.0,0,0,0.0,0.6666666666666666,2,0.8888888888888888,2,0,0.0,18.7,12.57,5.586666666666667,22.89,10.32,22.89,0.0,0.0,0.0,0.0,0,0,0.1984649,0.5953947,0.2646198666666667,0.5953947,0.0,0.0,204.33333333333331,31,13.777777777777771,225,194,194.0,0.4285714285714286,0.0,0.5714285714285715,0.0,0,0.08606881472877181,0.0382528065461208,-3.1674929633333333,-0.1709116400000003,18.0,3.4813294765202523,307.09213711568,17.060674284204442,0.6085646955874279
27,124,A2B,Mg2Co0.25Ni0.75,3.1,64.5,279,1,"Darnaudery, 1983",418.0,,,,Mg2Ni.75Co.25,116.81608258625374,6.333239945579323e-06,-11.969698613009502,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,17.25,16,7.0,28,12,12.0,65.41666666666666,10,3.4444444444444473,68,58,68.0,35.787782916666664,34.628195,15.31037722222222,58.933195,24.305,24.305,1194.6666666666665,845.0,362.2222222222222,1768.0,923.0,923.0,4.583333333333333,8,3.4444444444444446,10,2,2.0,3.3333333333333335,1,0.4444444444444445,4,3,3.0,135.5,17,7.333333333333333,141,124,141.0,1.5075,0.5999999999999999,0.2633333333333333,1.91,1.31,1.31,2.0,0,0.0,2,2,2.0,0.0,0,0.0,0,0,0.0,2.583333333333333,8,3.4444444444444446,8,0,0.0,0.0,0,0.0,0,0,0.0,4.583333333333333,8,3.4444444444444446,10,2,2.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.75,3,1.0,3,0,0.0,0.0,0,0.0,0,0,0.0,0.75,3,1.0,3,0,0.0,18.69375,12.645000000000001,5.595,22.89,10.245,22.89,0.0,0.0,0.0,0.0,0,0,0.27788794166666664,1.5484712,0.3705172555555555,1.5484712,0.0,0.0,201.74999999999997,31,11.624999999999986,225,194,194.0,0.4363636363636364,0.0,0.5636363636363636,0.0,0,0.08606881472877181,0.03736717649883662,,,,,,,
31,129,A2B,Mg2Fe0.25Ni0.75,3.3,65.2,300,1.9,"Yuan, 1997",828.0,,Includes free Mg,,Mg2Ni.75Fe.25 (M),119.09378137973277,6.280056744354837e-06,-11.978131541799696,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,17.166666666666664,16,6.888888888888888,28,12,12.0,65.16666666666666,13,3.777777777777781,68,55,68.0,35.530433333333335,34.3884,14.967244444444445,58.6934,24.305,24.305,1198.25,888.0,367.0,1811.0,923.0,923.0,4.5,8,3.333333333333333,10,2,2.0,3.3333333333333335,1,0.4444444444444445,4,3,3.0,136.0,17,6.666666666666666,141,124,141.0,1.5033333333333334,0.5999999999999999,0.2577777777777778,1.91,1.31,1.31,2.0,0,0.0,2,2,2.0,0.0,0,0.0,0,0,0.0,2.5,8,3.333333333333333,8,0,0.0,0.0,0,0.0,0,0,0.0,4.5,8,3.333333333333333,10,2,2.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.8333333333333333,4,1.1111111111111112,4,0,0.0,0.0,0,0.0,0,0,0.0,0.8333333333333333,4,1.1111111111111112,4,0,0.0,18.734166666666667,12.57,5.541111111111111,22.89,10.32,22.89,0.0,0.0,0.0,0.0,0,0,0.3247372416666667,2.1106628,0.43298298888888886,2.1106628,0.0,0.0,204.66666666666666,35,14.222222222222218,229,194,194.0,0.4444444444444444,0.0,0.5555555555555556,0.0,0,0.08606881472877181,0.036019079102751594,,,,,,,
35,133,A2B,Mg2Cr0.25Ni0.75,3.2,61,250,0.9,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Cr0.25,115.72537308383633,2.279544208544706e-05,-10.688949950521277,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,17.0,16,6.666666666666666,28,12,12.0,64.66666666666666,19,4.444444444444447,68,49,68.0,35.209691666666664,34.3884,14.539588888888888,58.6934,24.305,24.305,1229.0,1257.0,408.0,2180.0,923.0,923.0,4.333333333333333,8,3.1111111111111107,10,2,2.0,3.3333333333333335,1,0.4444444444444445,4,3,3.0,136.58333333333331,17,6.291666666666677,141,124,141.0,1.4891666666666667,0.5999999999999999,0.23888888888888885,1.91,1.31,1.31,1.9166666666666665,1,0.1527777777777779,2,1,2.0,0.0,0,0.0,0,0,0.0,2.4166666666666665,8,3.2222222222222223,8,0,0.0,0.0,0,0.0,0,0,0.0,4.333333333333333,8,3.1111111111111107,10,2,2.0,0.08333333333333333,1,0.15277777777777776,1,0,0.0,0.0,0,0.0,0,0,0.0,0.9166666666666666,5,1.2222222222222223,5,0,0.0,0.0,0,0.0,0,0,0.0,1.0,6,1.3333333333333333,6,0,0.0,18.7725,12.57,5.49,22.89,10.32,22.89,0.0,0.0,0.0,0.0,0,0,0.148848675,0.5953947,0.22327301250000003,0.5953947,0.0,0.0,204.66666666666666,35,14.222222222222218,229,194,194.0,0.4423076923076923,0.0,0.5576923076923077,0.0,0,0.08606881472877181,0.03268678730206499,,,,,,,
36,134,A2B,Mg2Cu0.25Ni0.75,3.2,59,250,1.2,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Cu0.25,114.29421225881923,4.3001956393652456e-05,-10.054264945778892,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,17.416666666666664,17,7.222222222222221,29,12,12.0,65.91666666666666,7,2.777777777777781,68,61,68.0,36.17218333333334,39.241,15.822911111111111,63.546,24.305,24.305,1160.4808333333333,805.0,316.64111111111106,1728.0,923.0,923.0,4.75,9,3.6666666666666665,11,2,2.0,3.3333333333333335,1,0.4444444444444445,4,3,3.0,136.0,17,6.666666666666666,141,124,141.0,1.5091666666666668,0.5999999999999999,0.26555555555555554,1.91,1.31,1.31,1.9166666666666665,1,0.1527777777777779,2,1,2.0,0.0,0,0.0,0,0,0.0,2.833333333333333,10,3.7777777777777777,10,0,0.0,0.0,0,0.0,0,0,0.0,4.75,9,3.6666666666666665,11,2,2.0,0.08333333333333333,1,0.15277777777777776,1,0,0.0,0.0,0,0.0,0,0,0.0,0.5,2,0.75,2,0,0.0,0.0,0,0.0,0,0,0.0,0.5833333333333334,2,0.7777777777777777,2,0,0.0,18.762500000000003,12.57,5.503333333333332,22.89,10.32,22.89,0.0,0.0,0.0,0.0,0,0,0.148848675,0.5953947,0.22327301250000003,0.5953947,0.0,0.0,204.33333333333331,31,13.777777777777771,225,194,194.0,0.40350877192982454,0.0,0.5964912280701754,0.0,0,0.08606881472877181,0.037951293341878696,,,,,,,
40,138,A2B,Mg2Ti0.25Ni0.75,3.2,59,250,1.3,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,,Mg2Ni0.75Ti0.25,114.95970005720751,4.658545275979016e-05,-9.974222238105355,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,16.833333333333336,16,6.444444444444445,28,12,12.0,64.16666666666666,25,5.111111111111114,68,43,68.0,34.8656,34.3884,14.080799999999998,58.6934,24.305,24.305,1209.0833333333333,1018.0,381.4444444444444,1941.0,923.0,923.0,4.166666666666666,8,2.916666666666666,10,2,2.0,3.3333333333333335,1,0.4444444444444445,4,3,3.0,138.33333333333331,36,7.166666666666676,160,124,141.0,1.4791666666666667,0.5999999999999999,0.2255555555555555,1.91,1.31,1.31,2.0,0,0.0,2,2,2.0,0.0,0,0.0,0,0,0.0,2.1666666666666665,8,2.9166666666666665,8,0,0.0,0.0,0,0.0,0,0,0.0,4.166666666666666,8,2.916666666666666,10,2,2.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,1.1666666666666665,8,1.5555555555555554,8,0,0.0,0.0,0,0.0,0,0,0.0,1.1666666666666665,8,1.5555555555555554,8,0,0.0,19.230833333333337,12.57,4.878888888888888,22.89,10.32,22.89,0.0,0.0,0.0,0.0,0,0,0.14885055277777778,0.5953947,0.22327207361111112,0.5953947,0.0,0.0,201.74999999999997,31,11.624999999999986,225,194,194.0,0.4800000000000001,0.0,0.52,0.0,0,0.08606881472877181,0.03155128990779588,,,,,,,
