Composition_Formula Ef
LiH -0.482520472643333
BeH 0.42342683819000015
BeH2 -0.14915786185777768
B9H11 -0.17207933405349962
B4H5 -0.15791550425648163
B4H5 -0.16190598772870382
B13H19 -0.14451775733166627
B9H11 -0.17470070349099914
B10H13 -0.16692222088666575
B5H8 -0.13656406572128185
B2H3 -0.13603915013033258
B5H7 -0.1720555115213885
B10H13 -0.16794016327797023
B5H9 -0.1465441420890475
B3H5 -0.1301255428874999
B3H4 -0.005227078586428442
BH3 -0.1447486922983332
B7H10 -0.1396309560754896
B2H5 -0.1606763306809518
B10H13 -0.16800398827797008
BH -0.06001858639333335
B5H9 -0.14711861012476188
B5H4 0.18426864549759298
B5H11 -0.1407741019679163
B3H5 -0.15682579361666646
H4C7 -0.039677972073939936
H4C -0.3771410948959996
HC3 0.018512746594999463
HC2 -0.009055372873334022
H2C3 -0.04609825994800047
HC6 0.016841040197141815
H34C19 -0.24243146628452797
HC -0.12662280556000027
HC2 -0.05086074037333472
H2C -0.26982626991333386
HC -0.1733244218100003
H8C5 -0.23418850492000096
H34C19 -0.2473776476052827
HC -0.06318359181000055
HC 0.08348724318999956
H3N -0.5264346101849995
HN -0.2219478117499996
H3N -0.5212161645600002
HN -0.3286461608125002
HN -0.06418335831249955
H4N -0.14062981137199984
H3N -0.5431238783099994
H2O -1.3554836967188888
H2O -1.3050692344966663
H2O2 -0.9356597105600004
H2O -1.32441838033
H2O -1.363908818941111
H2O -1.0785149083855556
H2O -1.3545024267188888
H2O -0.4202301749133331
H2O -0.9189073152109525
H2O -1.3212346178299998
H2O -1.2862678194966666
H7O4 -0.5730410250309087
H2O -1.3543611850522221
H2O -1.3207557894966666
H2O2 -0.9593282755599999
H2O -1.3695086872744444
H2O -1.3877748669966665
H2O -1.3887052844966667
H11O8 -1.1331297907799998
HF -1.786034339905
H3F2 -1.489334477648
NaH -0.10928805181000012
NaH -0.2667172818100001
MgH2 -0.16880951352444443
MgH2 -0.19652159435777783
MgH2 -0.23777969435777754
Mg149H -0.018101135568577623
MgH2 -0.23564615394111085
MgH2 -0.2775092085244448
MgH2 -0.27816444352444475
MgH2 -0.24702430435777778
MgH3 0.21666937520166663
MgH 0.11888826652333373
AlH12 0.10415056588923094
AlH3 -0.10858125979833311
AlH6 0.9504540361828572
AlH3 -0.11595031188166634
Al3H 0.3726275428450001
AlH3 -0.11233187521499977
AlH3 -0.1214407852149999
SiH -0.04184959680999967
SiH4 -0.11030771439600003
Si3H 0.578155504095001
SiH8 -0.1278120748844442
Si3H -0.004075814654998844
Si3H 0.008399317845000809
SiH8 -0.11810545321777807
SiH2 -0.05199605707999998
P3H 0.7889509739164291
PH3 0.09954398326714298
H2S -0.46167460803833293
H3S 0.4308026027537504
H2S -0.4599000649133333
H3S -0.2976519250587497
H3S 0.14533256525375027
H2S 0.5074857898783337
H3S -0.3752420922462498
H2S -0.47191821595499955
H2S -0.46106626928833333
H3S 0.1443974802537502
H2S -0.42592676762166626
HCl -0.8825526934400001
HCl -0.8289622359399997
HCl -0.5543044209399999
HCl 0.39782807406
KH -0.26493946080999997
KH3 0.9074455277850002
