Composition_Formula Ef
LiH -0.409455466092
Li3H 0.212569421954
LiH3 0.539362640862
LiH2 0.897474666877
Li2H 0.0109155476053
BeH 0.478754613908
BeH2 -0.0433977559006
BeH3 0.372984832112
Be3H 0.590856474454
Be2H 1.17831918427
NaH -0.248654351518
Na3H 0.219033678815
NaH3 0.549914318149
NaH2 0.52480663076
Na2H 0.115310537038
MgH 0.182472464325
Mg149H 0.0127728192132
Mg3H 0.423586215079
MgH2 -0.184497846178
MgH3 0.32169151857
Mg3H2 0.104965370626
Mg2H 0.691046856494
AlH 0.160161911408
Al3H 0.415295529454
AlH3 -0.00996882788813
Al2H 0.301756269272
Al2H3 0.248166216689
KH -0.197871928592
K3H 0.291656600704
KH3 0.972662954612
KH2 0.912993003544
K2H 0.0896739026053
CaH -0.196166806092
Ca3H 0.446542119454
CaH2 -0.570959743956
CaH3 -0.0818985866381
Ca2H 0.376851964272
ScH -0.425811838592
ScH2 -0.671256449789
ScH3 -0.425105260388
Sc3H 0.596227790704
TiH -0.378462637985
Ti2H -0.225948356586
Ti3H 0.217247985364
TiH2 -0.493279956052
TiH3 -0.210630637585
Ti2H3 -0.436634527825
Ti4H3 -0.2924958231
Ti4H5 -0.406407132896
Ti4H7 -0.468665920039
Ti3H2 -0.232467216145
VH -0.151876141092
V2H -0.136817394061
V3H 0.426044289454
VH2 -0.199395054789
VH3 0.0146510321119
CrH 0.0221577539079
CrH2 0.0697346018772
CrH3 0.203265622112
Cr3H 0.725723999454
Cr2H 1.74139299594
MnH -0.0272225229886
Mn3H 0.506723319109
MnH3 0.186199824914
MnH2 -0.00159017522048
Mn2H 1.09528062174
FeH -0.00133299734209
Fe3H 0.605462480704
FeH3 0.256310177112
Fe2H 0.0509630442719
Fe2H3 0.161965954689
FeH2 0.214373838544
CoH 0.0112059789079
Co3H 0.177646893204
CoH3 0.222749873362
Co2H 0.0507793426053
Co2H3 0.159995169689
CoH2 0.0946843743772
NiH -0.0498987760921
Ni3H 0.487085760704
NiH3 0.292331539612
Ni2H -0.00988305406139
NiH2 0.0517338960439
Ni3H2 -0.0268769338737
CuH 0.128125913908
Cu3H 0.455308946954
CuH3 0.669508600862
Cu2H 0.660650552605
CuH2 0.425121205211
ZnH 0.472470183908
Zn3H 0.410316304454
ZnH3 0.717293478362
ZnH2 0.133318678544
Zn2H 0.767656044272
GaH 0.451420821408
Ga3H 0.359630910704
GaH3 0.712456102112
Ga2H 0.752331237605
GaH2 0.282366316877
RbH -0.158702791092
Rb3H 0.072205951954
RbH3 0.647614162112
Rb2H 0.105729110939
SrH -0.173640961092
Sr3H 0.464054331954
SrH3 -0.0206129966381
SrH2 -0.540229469789
Sr2H 0.341066555939
YH -0.424324748592
YH2 -0.702780053123
YH3 -0.602007001221
Y3H 0.643598228204
Y3H2 -0.409040784874
Y2H 0.634511624272
ZrH -0.417773156092
Zr3H 0.646952799454
ZrH2 -0.558075971456
ZrH3 -0.279100094138
Zr2H 1.08933517761
NbH -0.110941266092
Nb3H 0.765575511954
NbH2 -0.228346684789
NbH3 0.0139252758619
MoH 0.0432546689079
Mo3H 0.889551584454
MoH3 0.218614398362
MoH2 1.32199080021
Mo2H 1.85430066927
TcH -0.00612521859209
Tc3H 0.708618154454
TcH3 0.296303115862
TcH2 1.21222931688
Tc2H 1.89063950927
HRu 0.118525483908
HRu3 0.725322971954
H3Ru 0.281638115862
H2Ru 0.299412520211
HRu2 1.72717558427
HRh 0.0415147039079
HRh3 0.543856889454
H3Rh 0.171523765862
H2Rh 0.0142590177105
HRh2 1.19976418427
HPd -0.105310051092
HPd3 0.492960449454
H3Pd 0.384320290862
H2Pd 0.0508894093772
HPd2 0.594215879272
AgH 0.207072967658
Ag3H 0.490889011329
AgH3 0.713701502737
CdH 0.498014498908
Cd3H 0.462782396954
CdH3 0.721710867112
Cd2H 0.683936387605
CdH2 0.234696995211
InH 0.459705418908
In3H 0.400948354454
InH3 0.733833400862
InH2 0.352543371877
In2H 0.540790084272
SnH 0.484642815482
Sn3H 0.364381426816
SnH3 0.541149450399
SnH4 0.190776414882
SnH2 0.436376762927
Sn2H 0.782245013038
CsH -0.156556856092
CsH3 0.651181702112
Cs3H 0.300619754454
Cs2H 0.0711517926053
CsH2 0.883789380211
BaH -0.246660021092
Ba3H 0.473013426954
BaH2 -0.490697405623
BaH3 0.0557613458619
Ba2H 0.315646044272
LaH -0.430096021092
La3H 0.163059511954
LaH2 -0.631946481456
LaH3 -0.572970184138
La2H5 -0.610157165132
La4H9 -0.621968001512
CeH -0.382325004842
Ce3H 0.208964577579
CeH2 -0.594183343956
CeH3 -0.487018281013
Ce2H5 -0.553846130132
Ce2H 0.660267475939
PrH -0.387636894842
PrH2 -0.613411540623
PrH3 -0.499650631013
Pr3H 0.208957080079
Pr2H 0.664154499272
NdH -0.388897108592
Nd3H 0.210802161954
NdH2 -0.628316593123
NdH3 -0.549260935805
Nd2H 0.665573947605
PmH -0.391255512342
Pm3H 0.212360621329
PmH3 -0.521211992263
PmH2 0.174655959377
Pm2H 0.662362177605
SmH -0.383736669842
Sm3H 0.215474572579
SmH2 -0.653523513956
SmH3 -0.57209484643
EuH -0.352133911092
EuH2 -0.642443771456
EuH3 -0.134238491638
Eu3H 0.427324949454
Eu2H 0.325134849272
GdH -0.375432099842
Gd3H 0.217874623829
GdH2 -0.681436950623
GdH3 -0.59599332768
TbH -0.0577432584254
Tb3H 0.712575715954
TbH2 -0.468317476345
TbH3 -0.437069053221
Tb4H9 -0.457878316794
DyH -0.395989124425
Dy3H 0.626150424454
DyH2 -0.691698807012
DyH3 -0.605387318721
Dy2H 0.641351233161
HoH -0.403278792759
Ho3H 0.631044011954
HoH2 -0.693770659234
HoH3 -0.607169862888
Ho2H 0.635178248716
ErH -0.449823628592
Er3H 0.636482909454
ErH2 -0.694150861456
ErH3 -0.607723186638
Er2H 0.630137735939
TmH -0.410072926092
Tm3H 0.643014729454
TmH2 -0.691521771456
TmH3 -0.606512791221
Tm2H 0.625727157605
YbH -0.257502016092
Yb3H 0.398051156954
YbH2 -0.615621346456
YbH3 -0.136172241638
Yb3H8 -0.347081111892
LuH -0.410062883592
Lu3H 0.654512038204
LuH2 -0.681496533123
LuH3 -0.509246097888
Lu2H 0.618977060939
HfH -0.316602423592
Hf3H 0.365349909454
HfH2 -0.486180246456
HfH3 -0.226611800388
TaH -0.0499513160921
Ta2H -0.154297134061
Ta3H 0.871260105704
TaH2 -0.0980929047895
TaH3 0.0800947033619
HW 0.240410288908
HW3 1.07949786695
H3W 0.370453852112
H2W 1.60301978188
HW2 2.08519750427
ReH 0.232204731408
Re3H 0.810415940704
ReH3 0.495270534612
ReH2 1.66269173021
Re2H 2.17045625094
HOs 0.470083008908
HOs3 0.933782454454
H3Os 0.477381225862
H2Os 0.626217098544
