,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm, min Number, max Number, range Number, mean Number, avg_dev Number, mode Number, min MendeleevNumber, max MendeleevNumber, range MendeleevNumber, mean MendeleevNumber, avg_dev MendeleevNumber, mode MendeleevNumber, min AtomicWeight, max AtomicWeight, range AtomicWeight, mean AtomicWeight, avg_dev AtomicWeight, mode AtomicWeight, min MeltingT, max MeltingT, range MeltingT, mean MeltingT, avg_dev MeltingT, mode MeltingT, min Column, max Column, range Column, mean Column, avg_dev Column, mode Column, min Row, max Row, range Row, mean Row, avg_dev Row, mode Row, min CovalentRadius, max CovalentRadius, range CovalentRadius, mean CovalentRadius, avg_dev CovalentRadius, mode CovalentRadius, min Electronegativity, max Electronegativity, range Electronegativity, mean Electronegativity, avg_dev Electronegativity, mode Electronegativity, min NsValence, max NsValence, range NsValence, mean NsValence, avg_dev NsValence, mode NsValence, min NpValence, max NpValence, range NpValence, mean NpValence, avg_dev NpValence, mode NpValence, min NdValence, max NdValence, range NdValence, mean NdValence, avg_dev NdValence, mode NdValence, min NfValence, max NfValence, range NfValence, mean NfValence, avg_dev NfValence, mode NfValence, min NValence, max NValence, range NValence, mean NValence, avg_dev NValence, mode NValence, min NsUnfilled, max NsUnfilled, range NsUnfilled, mean NsUnfilled, avg_dev NsUnfilled, mode NsUnfilled, min NpUnfilled, max NpUnfilled, range NpUnfilled, mean NpUnfilled, avg_dev NpUnfilled, mode NpUnfilled, min NdUnfilled, max NdUnfilled, range NdUnfilled, mean NdUnfilled, avg_dev NdUnfilled, mode NdUnfilled, min NfUnfilled, max NfUnfilled, range NfUnfilled, mean NfUnfilled, avg_dev NfUnfilled, mode NfUnfilled, min NUnfilled, max NUnfilled, range NUnfilled, mean NUnfilled, avg_dev NUnfilled, mode NUnfilled, min GSvolume_pa, max GSvolume_pa, range GSvolume_pa, mean GSvolume_pa, avg_dev GSvolume_pa, mode GSvolume_pa, min GSbandgap, max GSbandgap, range GSbandgap, mean GSbandgap, avg_dev GSbandgap, mode GSbandgap, min GSmagmom, max GSmagmom, range GSmagmom, mean GSmagmom, avg_dev GSmagmom, mode GSmagmom, min SpaceGroupNumber, max SpaceGroupNumber, range SpaceGroupNumber, mean SpaceGroupNumber, avg_dev SpaceGroupNumber, mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,E_HM min,E_HM max,E_HM mu,E_HM dev,BulkMod
0,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,13.0,90.0,77.0,64.33333333333333,34.22222222222222,90.0,16.0,73.0,57.0,35.0,25.333333333333332,16.0,26.9815386,232.03806,205.0565214,163.6858862,91.13623173333333,232.03806,933.47,2023.0,1089.53,1659.8233333333335,484.2355555555555,2023.0,3.0,13.0,10.0,6.333333333333333,4.444444444444444,3.0,3.0,7.0,4.0,5.666666666666667,1.7777777777777777,7.0,121.0,206.0,85.0,177.66666666666666,37.77777777777778,206.0,1.3,1.61,0.31000000000000005,1.4033333333333333,0.13777777777777778,1.3,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,8.0,8.0,5.333333333333333,3.555555555555556,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.0,1.3333333333333333,8.0,16.48,32.37,15.889999999999997,27.073333333333334,7.06222222222222,32.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0,2.0,0.3333333333333333,1.3333333333333333,0.0,False,0.02373869707974785,0.005275266017721744,31.246001583212877,167.40892480794653,122.02128373303532,50.5953080054467,68.02
1,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,22.0,29.0,7.0,24.333333333333332,3.1111111111111107,22.0,43.0,64.0,21.0,50.0,9.333333333333334,43.0,47.867,63.546,15.679000000000002,53.093333333333334,6.968444444444446,47.867,1357.77,1941.0,583.23,1746.5900000000001,259.2133333333333,1941.0,4.0,11.0,7.0,6.333333333333333,3.1111111111111107,4.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,160.0,28.0,150.66666666666666,12.444444444444448,160.0,1.54,1.9,0.3599999999999999,1.6600000000000001,0.16,1.54,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,4.666666666666667,3.555555555555556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0,6.333333333333333,3.1111111111111107,4.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.333333333333333,3.555555555555556,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,5.666666666666667,3.1111111111111107,8.0,11.07,16.69,5.620000000000001,14.816666666666668,2.497777777777778,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,1.50222222222e-05,1.00148148148e-05,2.25333333333e-05,194.0,225.0,31.0,204.33333333333334,13.77777777777778,194.0,1.6666666666666667,0.0,4.666666666666667,0.0,False,0.031880743083437246,0.007084609574097165,-23.79895147649854,169.47613779809436,105.05110803989672,60.45853784544788,130.95285714285714
2,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,29.0,40.0,11.0,36.333333333333336,4.888888888888888,40.0,44.0,64.0,20.0,50.666666666666664,8.888888888888888,44.0,63.546,91.224,27.678000000000004,81.998,12.301333333333334,91.224,1357.77,2128.0,770.23,1871.256666666667,342.3244444444444,2128.0,4.0,11.0,7.0,6.333333333333333,3.1111111111111107,4.0,4.0,5.0,1.0,4.666666666666667,0.44444444444444436,5.0,132.0,175.0,43.0,160.66666666666666,19.111111111111114,175.0,1.33,1.9,0.5699999999999998,1.5200000000000002,0.25333333333333335,1.33,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,4.666666666666667,3.555555555555556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0,6.333333333333333,3.1111111111111107,4.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.333333333333333,3.555555555555556,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,5.666666666666667,3.1111111111111107,8.0,11.07,23.195,12.125,19.153333333333332,5.388888888888889,23.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,204.33333333333334,13.77777777777778,194.0,1.6666666666666667,0.0,4.666666666666667,0.0,False,0.07801377879468974,0.01733639528770883,-23.79895147649854,188.84106266355545,117.96105795020411,66.91351280060157,111.78
3,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,28.0,40.0,12.0,36.0,5.333333333333333,40.0,44.0,61.0,17.0,49.666666666666664,7.5555555555555545,44.0,58.6934,91.224,32.53060000000001,80.38046666666666,14.458044444444448,91.224,1728.0,2128.0,400.0,1994.6666666666667,177.77777777777774,2128.0,4.0,10.0,6.0,6.0,2.6666666666666665,4.0,4.0,5.0,1.0,4.666666666666667,0.44444444444444436,5.0,124.0,175.0,51.0,158.0,22.666666666666668,175.0,1.33,1.91,0.5799999999999998,1.5233333333333334,0.2577777777777777,1.33,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.0,2.6666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,6.0,2.6666666666666665,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,6.0,2.6666666666666665,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,6.0,2.6666666666666665,8.0,10.32,23.195,12.875,18.903333333333332,5.722222222222222,23.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.19846490000000003,0.26461986666666665,0.0,194.0,225.0,31.0,204.33333333333334,13.77777777777778,194.0,2.0,0.0,4.0,0.0,False,0.08066068243348179,0.017924596096329286,43.19752602258838,188.84106266355545,140.2932171165664,55.74743321742042,119.38
4,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,12.0,28.0,16.0,17.333333333333332,7.111111111111111,12.0,61.0,68.0,7.0,65.66666666666667,3.1111111111111094,68.0,24.305,58.6934,34.3884,35.7678,15.283733333333332,24.305,923.0,1728.0,805.0,1191.3333333333333,357.77777777777777,923.0,2.0,10.0,8.0,4.666666666666667,3.555555555555556,2.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,124.0,141.0,17.0,135.33333333333334,7.555555555555553,141.0,1.31,1.91,0.5999999999999999,1.51,0.2666666666666666,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,4.666666666666667,3.555555555555556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,10.32,22.89,12.57,18.7,5.586666666666667,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.19846490000000003,0.26461986666666665,0.0,194.0,225.0,31.0,204.33333333333334,13.77777777777778,194.0,2.0,0.0,2.6666666666666665,0.0,False,0.08606881472877181,0.0191264032730604,43.19752602258838,80.51633934836731,68.076734906441,19.63919211235771,66.42
5,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,12.0,28.0,16.0,17.25,7.0,12.0,58.0,68.0,10.0,65.41666666666667,3.444444444444443,68.0,24.305,58.933195,34.628195,35.787782916666664,15.31037722222222,24.305,923.0,1768.0,845.0,1194.6666666666667,362.22222222222223,923.0,2.0,10.0,8.0,4.583333333333333,3.444444444444444,2.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,124.0,141.0,17.0,135.5,7.333333333333333,141.0,1.31,1.91,0.5999999999999999,1.5075,0.26333333333333325,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.5833333333333335,3.4444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,4.583333333333333,3.444444444444444,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.75,1.0,0.0,10.245,22.89,12.645000000000001,18.69375,5.595,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.2778879416666667,0.3705172555555556,0.0,194.0,225.0,31.0,201.75,11.625,194.0,2.0,0.0,2.5833333333333335,0.0,False,0.08606881472877181,0.01868358824941831,23.016612431938764,80.51633934836731,66.39499210722019,22.59907300919501,69.12
6,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,12.0,28.0,16.0,17.166666666666668,6.888888888888889,12.0,55.0,68.0,13.0,65.16666666666667,3.7777777777777763,68.0,24.305,58.6934,34.3884,35.53043333333333,14.967244444444441,24.305,923.0,1811.0,888.0,1198.25,367.0,923.0,2.0,10.0,8.0,4.5,3.3333333333333335,2.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,124.0,141.0,17.0,136.0,6.666666666666667,141.0,1.31,1.91,0.5999999999999999,1.5033333333333332,0.25777777777777766,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.5,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,4.5,3.3333333333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.8333333333333334,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.8333333333333334,1.1111111111111112,0.0,10.32,22.89,12.57,18.734166666666667,5.541111111111111,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.3247372416666667,0.4329829888888889,0.0,194.0,229.0,35.0,204.66666666666666,14.22222222222222,194.0,2.0,0.0,2.5,0.0,False,0.08606881472877181,0.018009539551375797,21.54789775769038,80.51633934836731,66.2725992176995,22.635608336643443,69.76
7,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,12.0,28.0,16.0,17.0,6.666666666666667,12.0,49.0,68.0,19.0,64.66666666666667,4.444444444444443,68.0,24.305,58.6934,34.3884,35.209691666666664,14.539588888888886,24.305,923.0,2180.0,1257.0,1229.0,408.0,923.0,2.0,10.0,8.0,4.333333333333333,3.1111111111111107,2.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,124.0,141.0,17.0,136.58333333333334,6.291666666666662,141.0,1.31,1.91,0.5999999999999999,1.4891666666666667,0.23888888888888885,1.31,1.0,2.0,1.0,1.9166666666666667,0.1527777777777777,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.4166666666666665,3.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,4.333333333333333,3.1111111111111107,2.0,0.0,1.0,1.0,0.08333333333333333,0.15277777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.9166666666666666,1.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.3333333333333333,0.0,10.32,22.89,12.57,18.7725,5.489999999999999,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.148848675,0.22327301250000006,0.0,194.0,229.0,35.0,204.66666666666666,14.22222222222222,194.0,1.9166666666666667,0.0,2.4166666666666665,0.0,False,0.08606881472877181,0.016343393651032496,17.35993208442438,80.51633934836731,65.92360207826067,22.74026848931966,74.8
8,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,12.0,29.0,17.0,17.416666666666668,7.222222222222222,12.0,61.0,68.0,7.0,65.91666666666667,2.7777777777777763,68.0,24.305,63.546,39.241,36.17218333333333,15.82291111111111,24.305,923.0,1728.0,805.0,1160.4808333333333,316.64111111111106,923.0,2.0,11.0,9.0,4.75,3.6666666666666665,2.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,124.0,141.0,17.0,136.0,6.666666666666667,141.0,1.31,1.91,0.5999999999999999,1.5091666666666665,0.2655555555555555,1.31,1.0,2.0,1.0,1.9166666666666667,0.1527777777777777,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.8333333333333335,3.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,4.75,3.6666666666666665,2.0,0.0,1.0,1.0,0.08333333333333333,0.15277777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5833333333333334,0.7777777777777778,0.0,10.32,22.89,12.57,18.7625,5.503333333333334,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.148848675,0.22327301250000006,0.0,194.0,225.0,31.0,204.33333333333334,13.77777777777778,194.0,1.9166666666666667,0.0,2.8333333333333335,0.0,False,0.08606881472877181,0.018975646670939348,-23.79895147649854,80.51633934836731,62.49369511485042,23.804899098772548,65.77999999999999
9,3,0.7168604389202189,0.6786044041487266,0.6676565611667779,0.666765986047273,0.666670332882473,12.0,28.0,16.0,16.833333333333332,6.444444444444444,12.0,43.0,68.0,25.0,64.16666666666667,5.11111111111111,68.0,24.305,58.6934,34.3884,34.8656,14.080799999999998,24.305,923.0,1941.0,1018.0,1209.0833333333333,381.4444444444444,923.0,2.0,10.0,8.0,4.166666666666667,2.9166666666666665,2.0,3.0,4.0,1.0,3.3333333333333335,0.4444444444444445,3.0,124.0,160.0,36.0,138.33333333333334,7.166666666666662,141.0,1.31,1.91,0.5999999999999999,1.4791666666666667,0.2255555555555555,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.1666666666666665,2.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,4.166666666666667,2.9166666666666665,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.1666666666666667,1.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.1666666666666667,1.5555555555555556,0.0,10.32,22.89,12.57,19.230833333333333,4.878888888888889,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.14885055277777778,0.22327207361111112,0.0,194.0,225.0,31.0,201.75,11.625,194.0,2.0,0.0,2.1666666666666665,0.0,False,0.08606881472877181,0.01577564495389794,43.19752602258838,169.47613779809436,78.59995255439983,19.476900688792757,94.84666666666668
