Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
AgAlCoCrCuNi,AgAlCoCrCuNi,AC,SS+IM,2FCC+B2,6,3,H,[1],3d_Transition_Metal_Alloy_Family
AlAuCoCrCuNi,AlAuCoCrCuNi,AC,SS+IM,FCC+L10,6,2,H,[1],3d_Transition_Metal_Alloy_Family
AlCoCrCuFe,AlCoCrCu0.5Fe,AC,SS+IM,FCC+B2,5,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFe,MA+SPS,SS+IM,FCC+B2+s,5,3,H,[3],3d_Transition_Metal_Alloy_Family
AlCoCrCuFeMnNi,AlCoCrCuFeMnNi,AC,SS+IM,FCC+2B2,7,3,M,[4],3d_Transition_Metal_Alloy_Family
AlCoCrCuFeMnNiTiV,Al0.125CoCrCuFeMnNiTiV,AC,SS,BCC+FCC,9,2,M,[5],3d_Transition_Metal_Alloy_Family
,Al0.25CoCrCuFeMnNiTiV,AC,SS,BCC,9,1,M,[5],3d_Transition_Metal_Alloy_Family
,Al0.67CoCrCuFeMnNiTiV,AC,SS+IM,BCC+D022+IM,9,3,M,[5],3d_Transition_Metal_Alloy_Family
AlCoCrCuFeMoNi,AlCoCrCuFeMo0.2Ni,AC,SS,BCC+FCC,7,2,M,[6],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFeMo0.4Ni,AC,Unk,BCC+Unk,7,2,M,[6],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFeMo0.6Ni,AC,Unk,BCC+Unk,7,2,M,[6],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFeMo0.8Ni,AC,Unk,BCC+Unk,7,2,M,[6],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFeMoNi,AC,Unk,BCC+Unk,7,2,M,[6],3d_Transition_Metal_Alloy_Family
AlCoCrCuFeNi,Al0.25CoCrCu0.75FeNi,AC,SS,FCC,6,1,M,[7],3d_Transition_Metal_Alloy_Family
,Al0.3CoCrCu0.5FeNi,AC+1100C/24h/FC,SS+IM,FCC+L12,6,2,,[8],3d_Transition_Metal_Alloy_Family
,Al0.3CoCrCuFeNi,AC,SS,FCC,6,1,"H, M",[9],3d_Transition_Metal_Alloy_Family
,,AC,SS,FCC,6,1,H,[10],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCu0.5FeNi,AC,SS,2FCC,6,2,,[2],3d_Transition_Metal_Alloy_Family
