,Composition_Formula,GBTPredict
0,LiMgAlTi,1.0
1,LiMgAlV,1.0
2,LiMgAlCr,2.0
3,LiMgAlMn,2.0
4,LiMgAlFe,2.0
5,LiMgAlCo,2.0
6,LiMgAlNi,2.0
7,LiMgAlCu,2.0
8,LiMgAlZn,0.0
9,LiMgAlZr,1.0
10,LiMgAlNb,1.0
11,LiMgAlMo,2.0
12,LiMgAlPd,2.0
13,LiMgAlHf,1.0
14,LiMgAlTa,1.0
15,LiMgTiV,1.0
16,LiMgTiCr,2.0
17,LiMgTiMn,1.0
18,LiMgTiFe,1.0
19,LiMgTiCo,1.0
20,LiMgTiNi,2.0
21,LiMgTiCu,2.0
22,LiMgTiZn,1.0
23,LiMgTiZr,1.0
24,LiMgTiNb,2.0
25,LiMgTiMo,2.0
26,LiMgTiPd,2.0
27,LiMgTiHf,1.0
28,LiMgTiTa,1.0
29,LiMgVCr,2.0
30,LiMgVMn,1.0
31,LiMgVFe,1.0
32,LiMgVCo,2.0
33,LiMgVNi,2.0
34,LiMgVCu,2.0
35,LiMgVZn,2.0
36,LiMgVZr,1.0
37,LiMgVNb,2.0
38,LiMgVMo,2.0
39,LiMgVPd,2.0
40,LiMgVHf,1.0
41,LiMgVTa,1.0
42,LiMgCrMn,2.0
43,LiMgCrFe,2.0
44,LiMgCrCo,2.0
45,LiMgCrNi,2.0
46,LiMgCrCu,2.0
47,LiMgCrZn,2.0
48,LiMgCrZr,2.0
49,LiMgCrNb,2.0
50,LiMgCrMo,2.0
51,LiMgCrPd,2.0
52,LiMgCrHf,2.0
53,LiMgCrTa,2.0
54,LiMgMnFe,2.0
55,LiMgMnCo,2.0
56,LiMgMnNi,2.0
57,LiMgMnCu,2.0
58,LiMgMnZn,0.0
59,LiMgMnZr,1.0
60,LiMgMnNb,2.0
61,LiMgMnMo,2.0
62,LiMgMnPd,2.0
63,LiMgMnHf,1.0
64,LiMgMnTa,1.0
65,LiMgFeCo,2.0
66,LiMgFeNi,2.0
67,LiMgFeCu,2.0
68,LiMgFeZn,0.0
69,LiMgFeZr,1.0
70,LiMgFeNb,2.0
71,LiMgFeMo,2.0
72,LiMgFePd,2.0
73,LiMgFeHf,1.0
74,LiMgFeTa,1.0
75,LiMgCoNi,2.0
76,LiMgCoCu,2.0
77,LiMgCoZn,2.0
78,LiMgCoZr,1.0
79,LiMgCoNb,2.0
80,LiMgCoMo,2.0
81,LiMgCoPd,2.0
82,LiMgCoHf,1.0
83,LiMgCoTa,1.0
84,LiMgNiCu,2.0
85,LiMgNiZn,2.0
86,LiMgNiZr,1.0
87,LiMgNiNb,2.0
88,LiMgNiMo,2.0
89,LiMgNiPd,2.0
90,LiMgNiHf,1.0
91,LiMgNiTa,1.0
92,LiMgCuZn,2.0
93,LiMgCuZr,2.0
94,LiMgCuNb,2.0
95,LiMgCuMo,2.0
96,LiMgCuPd,2.0
97,LiMgCuHf,2.0
98,LiMgCuTa,2.0
99,LiMgZnZr,1.0
100,LiMgZnNb,2.0
101,LiMgZnMo,2.0
102,LiMgZnPd,2.0
103,LiMgZnHf,1.0
104,LiMgZnTa,1.0
105,LiMgZrNb,2.0
106,LiMgZrMo,2.0
107,LiMgZrPd,2.0
108,LiMgZrHf,1.0
109,LiMgZrTa,1.0
110,LiMgNbMo,2.0
111,LiMgNbPd,2.0
112,LiMgNbHf,2.0
113,LiMgNbTa,2.0
114,LiMgMoPd,2.0
115,LiMgMoHf,2.0
116,LiMgMoTa,2.0
117,LiMgPdHf,1.0
118,LiMgPdTa,1.0
119,LiMgHfTa,1.0
120,LiAlTiV,1.0
121,LiAlTiCr,2.0
122,LiAlTiMn,2.0
123,LiAlTiFe,2.0
124,LiAlTiCo,2.0
125,LiAlTiNi,2.0
126,LiAlTiCu,2.0
127,LiAlTiZn,2.0
128,LiAlTiZr,1.0
129,LiAlTiNb,1.0
130,LiAlTiMo,1.0
131,LiAlTiPd,2.0
132,LiAlTiHf,1.0
133,LiAlTiTa,1.0
134,LiAlVCr,2.0
135,LiAlVMn,2.0
136,LiAlVFe,2.0
137,LiAlVCo,2.0
138,LiAlVNi,2.0
139,LiAlVCu,2.0
140,LiAlVZn,1.0
141,LiAlVZr,1.0
142,LiAlVNb,1.0
143,LiAlVMo,1.0
144,LiAlVPd,1.0
145,LiAlVHf,1.0
146,LiAlVTa,1.0
147,LiAlCrMn,2.0
148,LiAlCrFe,2.0
149,LiAlCrCo,2.0
150,LiAlCrNi,2.0
151,LiAlCrCu,2.0
152,LiAlCrZn,2.0
153,LiAlCrZr,2.0
154,LiAlCrNb,2.0
155,LiAlCrMo,2.0
156,LiAlCrPd,2.0
157,LiAlCrHf,2.0
158,LiAlCrTa,2.0
159,LiAlMnFe,2.0
160,LiAlMnCo,2.0
161,LiAlMnNi,2.0
162,LiAlMnCu,2.0
163,LiAlMnZn,2.0
164,LiAlMnZr,2.0
165,LiAlMnNb,2.0
166,LiAlMnMo,2.0
167,LiAlMnPd,2.0
168,LiAlMnHf,1.0
169,LiAlMnTa,1.0
170,LiAlFeCo,2.0
171,LiAlFeNi,2.0
172,LiAlFeCu,2.0
173,LiAlFeZn,2.0
174,LiAlFeZr,2.0
175,LiAlFeNb,2.0
176,LiAlFeMo,2.0
177,LiAlFePd,2.0
178,LiAlFeHf,1.0
179,LiAlFeTa,1.0
180,LiAlCoNi,2.0
181,LiAlCoCu,2.0
182,LiAlCoZn,2.0
183,LiAlCoZr,2.0
184,LiAlCoNb,2.0
185,LiAlCoMo,2.0
186,LiAlCoPd,2.0
187,LiAlCoHf,1.0
188,LiAlCoTa,1.0
189,LiAlNiCu,2.0
190,LiAlNiZn,2.0
191,LiAlNiZr,2.0
192,LiAlNiNb,2.0
193,LiAlNiMo,2.0
194,LiAlNiPd,2.0
195,LiAlNiHf,1.0
196,LiAlNiTa,1.0
197,LiAlCuZn,2.0
198,LiAlCuZr,2.0
199,LiAlCuNb,2.0
200,LiAlCuMo,2.0
201,LiAlCuPd,2.0
202,LiAlCuHf,1.0
203,LiAlCuTa,2.0
204,LiAlZnZr,2.0
205,LiAlZnNb,2.0
206,LiAlZnMo,2.0
207,LiAlZnPd,2.0
208,LiAlZnHf,1.0
209,LiAlZnTa,1.0
210,LiAlZrNb,2.0
211,LiAlZrMo,2.0
212,LiAlZrPd,2.0
213,LiAlZrHf,1.0
214,LiAlZrTa,1.0
215,LiAlNbMo,1.0
216,LiAlNbPd,2.0
217,LiAlNbHf,1.0
218,LiAlNbTa,1.0
219,LiAlMoPd,1.0
220,LiAlMoHf,2.0
221,LiAlMoTa,1.0
222,LiAlPdHf,1.0
223,LiAlPdTa,1.0
224,LiAlHfTa,1.0
225,LiTiVCr,2.0
226,LiTiVMn,1.0
227,LiTiVFe,1.0
228,LiTiVCo,1.0
229,LiTiVNi,1.0
230,LiTiVCu,2.0
231,LiTiVZn,1.0
232,LiTiVZr,1.0
233,LiTiVNb,2.0
234,LiTiVMo,2.0
235,LiTiVPd,2.0
236,LiTiVHf,1.0
237,LiTiVTa,1.0
238,LiTiCrMn,2.0
239,LiTiCrFe,2.0
240,LiTiCrCo,2.0
241,LiTiCrNi,2.0
242,LiTiCrCu,2.0
243,LiTiCrZn,2.0
244,LiTiCrZr,2.0
245,LiTiCrNb,2.0
246,LiTiCrMo,2.0
247,LiTiCrPd,2.0
248,LiTiCrHf,2.0
249,LiTiCrTa,2.0
250,LiTiMnFe,2.0
251,LiTiMnCo,1.0
252,LiTiMnNi,2.0
253,LiTiMnCu,2.0
254,LiTiMnZn,1.0
255,LiTiMnZr,1.0
256,LiTiMnNb,2.0
257,LiTiMnMo,2.0
258,LiTiMnPd,2.0
259,LiTiMnHf,1.0
260,LiTiMnTa,1.0
261,LiTiFeCo,1.0
262,LiTiFeNi,2.0
263,LiTiFeCu,2.0
264,LiTiFeZn,2.0
265,LiTiFeZr,1.0
266,LiTiFeNb,2.0
267,LiTiFeMo,2.0
268,LiTiFePd,2.0
269,LiTiFeHf,1.0
270,LiTiFeTa,1.0
271,LiTiCoNi,2.0
272,LiTiCoCu,2.0
273,LiTiCoZn,1.0
274,LiTiCoZr,1.0
275,LiTiCoNb,2.0
276,LiTiCoMo,2.0
277,LiTiCoPd,2.0
278,LiTiCoHf,1.0
279,LiTiCoTa,1.0
280,LiTiNiCu,2.0
281,LiTiNiZn,2.0
282,LiTiNiZr,1.0
283,LiTiNiNb,2.0
284,LiTiNiMo,2.0
285,LiTiNiPd,2.0
286,LiTiNiHf,1.0
287,LiTiNiTa,1.0
288,LiTiCuZn,2.0
289,LiTiCuZr,2.0
290,LiTiCuNb,2.0
291,LiTiCuMo,2.0
292,LiTiCuPd,2.0
293,LiTiCuHf,2.0
294,LiTiCuTa,2.0
295,LiTiZnZr,1.0
296,LiTiZnNb,2.0
297,LiTiZnMo,2.0
298,LiTiZnPd,2.0
299,LiTiZnHf,1.0
300,LiTiZnTa,1.0
301,LiTiZrNb,2.0
302,LiTiZrMo,2.0
303,LiTiZrPd,2.0
304,LiTiZrHf,1.0
305,LiTiZrTa,1.0
306,LiTiNbMo,1.0
307,LiTiNbPd,2.0
308,LiTiNbHf,2.0
309,LiTiNbTa,1.0
310,LiTiMoPd,2.0
311,LiTiMoHf,2.0
312,LiTiMoTa,1.0
313,LiTiPdHf,1.0
314,LiTiPdTa,1.0
315,LiTiHfTa,1.0
316,LiVCrMn,2.0
317,LiVCrFe,2.0
318,LiVCrCo,2.0
319,LiVCrNi,2.0
320,LiVCrCu,2.0
321,LiVCrZn,2.0
322,LiVCrZr,2.0
323,LiVCrNb,2.0
324,LiVCrMo,2.0
325,LiVCrPd,2.0
326,LiVCrHf,2.0
327,LiVCrTa,2.0
328,LiVMnFe,2.0
329,LiVMnCo,2.0
330,LiVMnNi,2.0
331,LiVMnCu,2.0
332,LiVMnZn,1.0
333,LiVMnZr,1.0
334,LiVMnNb,2.0
335,LiVMnMo,2.0
336,LiVMnPd,2.0
337,LiVMnHf,1.0
338,LiVMnTa,1.0
339,LiVFeCo,1.0
340,LiVFeNi,2.0
341,LiVFeCu,2.0
342,LiVFeZn,2.0
343,LiVFeZr,1.0
344,LiVFeNb,2.0
345,LiVFeMo,2.0
346,LiVFePd,2.0
347,LiVFeHf,1.0
348,LiVFeTa,1.0
349,LiVCoNi,2.0
350,LiVCoCu,2.0
351,LiVCoZn,1.0
352,LiVCoZr,2.0
353,LiVCoNb,2.0
354,LiVCoMo,2.0
355,LiVCoPd,2.0
356,LiVCoHf,1.0
357,LiVCoTa,1.0
358,LiVNiCu,2.0
359,LiVNiZn,1.0
360,LiVNiZr,1.0
361,LiVNiNb,2.0
362,LiVNiMo,2.0
363,LiVNiPd,2.0
364,LiVNiHf,1.0
365,LiVNiTa,1.0
366,LiVCuZn,2.0
367,LiVCuZr,2.0
368,LiVCuNb,2.0
369,LiVCuMo,2.0
370,LiVCuPd,2.0
371,LiVCuHf,2.0
372,LiVCuTa,1.0
373,LiVZnZr,1.0
374,LiVZnNb,2.0
375,LiVZnMo,2.0
376,LiVZnPd,2.0
377,LiVZnHf,1.0
378,LiVZnTa,1.0
379,LiVZrNb,2.0
380,LiVZrMo,2.0
381,LiVZrPd,2.0
382,LiVZrHf,1.0
383,LiVZrTa,1.0
384,LiVNbMo,1.0
385,LiVNbPd,2.0
386,LiVNbHf,2.0
387,LiVNbTa,1.0
388,LiVMoPd,1.0
389,LiVMoHf,2.0
390,LiVMoTa,1.0
391,LiVPdHf,1.0
392,LiVPdTa,1.0
393,LiVHfTa,1.0
394,LiCrMnFe,2.0
395,LiCrMnCo,2.0
396,LiCrMnNi,2.0
397,LiCrMnCu,2.0
398,LiCrMnZn,2.0
399,LiCrMnZr,2.0
400,LiCrMnNb,2.0
401,LiCrMnMo,2.0
402,LiCrMnPd,2.0
403,LiCrMnHf,2.0
404,LiCrMnTa,1.0
405,LiCrFeCo,1.0
406,LiCrFeNi,2.0
407,LiCrFeCu,2.0
408,LiCrFeZn,2.0
409,LiCrFeZr,2.0
410,LiCrFeNb,2.0
411,LiCrFeMo,2.0
412,LiCrFePd,2.0
413,LiCrFeHf,2.0
414,LiCrFeTa,1.0
415,LiCrCoNi,2.0
416,LiCrCoCu,2.0
417,LiCrCoZn,2.0
418,LiCrCoZr,2.0
419,LiCrCoNb,2.0
420,LiCrCoMo,2.0
421,LiCrCoPd,2.0
422,LiCrCoHf,2.0
423,LiCrCoTa,2.0
424,LiCrNiCu,2.0
425,LiCrNiZn,2.0
426,LiCrNiZr,2.0
427,LiCrNiNb,2.0
428,LiCrNiMo,2.0
429,LiCrNiPd,2.0
430,LiCrNiHf,2.0
431,LiCrNiTa,1.0
432,LiCrCuZn,1.0
433,LiCrCuZr,2.0
434,LiCrCuNb,2.0
435,LiCrCuMo,2.0
436,LiCrCuPd,2.0
437,LiCrCuHf,1.0
438,LiCrCuTa,1.0
439,LiCrZnZr,2.0
440,LiCrZnNb,2.0
441,LiCrZnMo,2.0
442,LiCrZnPd,1.0
443,LiCrZnHf,2.0
444,LiCrZnTa,1.0
445,LiCrZrNb,2.0
446,LiCrZrMo,2.0
447,LiCrZrPd,2.0
448,LiCrZrHf,2.0
449,LiCrZrTa,2.0
450,LiCrNbMo,2.0
451,LiCrNbPd,2.0
452,LiCrNbHf,1.0
453,LiCrNbTa,1.0
454,LiCrMoPd,1.0
455,LiCrMoHf,1.0
456,LiCrMoTa,1.0
457,LiCrPdHf,1.0
458,LiCrPdTa,1.0
459,LiCrHfTa,2.0
460,LiMnFeCo,1.0
461,LiMnFeNi,2.0
462,LiMnFeCu,2.0
463,LiMnFeZn,2.0
464,LiMnFeZr,2.0
465,LiMnFeNb,2.0
466,LiMnFeMo,2.0
467,LiMnFePd,2.0
468,LiMnFeHf,1.0
469,LiMnFeTa,1.0
470,LiMnCoNi,1.0
471,LiMnCoCu,2.0
472,LiMnCoZn,1.0
473,LiMnCoZr,2.0
474,LiMnCoNb,2.0
475,LiMnCoMo,2.0
476,LiMnCoPd,2.0
477,LiMnCoHf,1.0
478,LiMnCoTa,1.0
479,LiMnNiCu,2.0
480,LiMnNiZn,2.0
481,LiMnNiZr,2.0
482,LiMnNiNb,2.0
483,LiMnNiMo,2.0
484,LiMnNiPd,2.0
485,LiMnNiHf,1.0
486,LiMnNiTa,1.0
487,LiMnCuZn,2.0
488,LiMnCuZr,2.0
489,LiMnCuNb,2.0
490,LiMnCuMo,2.0
491,LiMnCuPd,2.0
492,LiMnCuHf,2.0
493,LiMnCuTa,1.0
494,LiMnZnZr,2.0
495,LiMnZnNb,2.0
496,LiMnZnMo,2.0
497,LiMnZnPd,1.0
498,LiMnZnHf,1.0
499,LiMnZnTa,1.0
500,LiMnZrNb,2.0
501,LiMnZrMo,2.0
502,LiMnZrPd,2.0
503,LiMnZrHf,1.0
504,LiMnZrTa,1.0
505,LiMnNbMo,2.0
506,LiMnNbPd,2.0
507,LiMnNbHf,2.0
508,LiMnNbTa,1.0
509,LiMnMoPd,2.0
510,LiMnMoHf,2.0
511,LiMnMoTa,1.0
512,LiMnPdHf,1.0
513,LiMnPdTa,1.0
514,LiMnHfTa,1.0
515,LiFeCoNi,1.0
516,LiFeCoCu,2.0
517,LiFeCoZn,2.0
518,LiFeCoZr,2.0
519,LiFeCoNb,2.0
520,LiFeCoMo,2.0
521,LiFeCoPd,2.0
522,LiFeCoHf,1.0
523,LiFeCoTa,1.0
524,LiFeNiCu,2.0
525,LiFeNiZn,2.0
526,LiFeNiZr,2.0
527,LiFeNiNb,2.0
528,LiFeNiMo,2.0
529,LiFeNiPd,2.0
530,LiFeNiHf,1.0
531,LiFeNiTa,1.0
532,LiFeCuZn,2.0
533,LiFeCuZr,2.0
534,LiFeCuNb,2.0
535,LiFeCuMo,2.0
536,LiFeCuPd,2.0
537,LiFeCuHf,2.0
538,LiFeCuTa,1.0
539,LiFeZnZr,2.0
