,Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
0,AgAlCoCrCuNi,AgAlCoCrCuNi,AC,SS+IM,2FCC+B2,6,3,H,[1],3d_Transition_Metal_Alloy_Family
1,AlAuCoCrCuNi,AlAuCoCrCuNi,AC,SS+IM,FCC+L10,6,2,H,[1],3d_Transition_Metal_Alloy_Family
2,AlCoCrCuFe,AlCoCrCu0.5Fe,AC,SS+IM,FCC+B2,5,2,H,[2],3d_Transition_Metal_Alloy_Family
3,AlCoCrCuFe,AlCoCrCuFe,MA+SPS,SS+IM,FCC+B2+s,5,3,H,[3],3d_Transition_Metal_Alloy_Family
4,AlCoCrCuFeMnNi,AlCoCrCuFeMnNi,AC,SS+IM,FCC+2B2,7,3,M,[4],3d_Transition_Metal_Alloy_Family
5,AlCoCrCuFeMnNiTiV,Al0.125CoCrCuFeMnNiTiV,AC,SS,BCC+FCC,9,2,M,[5],3d_Transition_Metal_Alloy_Family
6,AlCoCrCuFeMnNiTiV,Al0.25CoCrCuFeMnNiTiV,AC,SS,BCC,9,1,M,[5],3d_Transition_Metal_Alloy_Family
7,AlCoCrCuFeMnNiTiV,Al0.67CoCrCuFeMnNiTiV,AC,SS+IM,BCC+D022+IM,9,3,M,[5],3d_Transition_Metal_Alloy_Family
8,AlCoCrCuFeMoNi,AlCoCrCuFeMo0.2Ni,AC,SS,BCC+FCC,7,2,M,[6],3d_Transition_Metal_Alloy_Family
13,AlCoCrCuFeNi,Al0.25CoCrCu0.75FeNi,AC,SS,FCC,6,1,M,[7],3d_Transition_Metal_Alloy_Family
14,AlCoCrCuFeNi,Al0.3CoCrCu0.5FeNi,AC+1100C/24h/FC,SS+IM,FCC+L12,6,2,M,[8],3d_Transition_Metal_Alloy_Family
15,AlCoCrCuFeNi,Al0.3CoCrCuFeNi,AC,SS,FCC,6,1,"H, M",[9],3d_Transition_Metal_Alloy_Family
16,AlCoCrCuFeNi,Al0.5CoCrCu0.5FeNi,AC,SS,2FCC,6,2,H,[2],3d_Transition_Metal_Alloy_Family
17,AlCoCrCuFeNi,Al0.5CoCrCu0.5FeNi2,AC,SS+IM,FCC+L12,6,2,H,[11],3d_Transition_Metal_Alloy_Family
18,AlCoCrCuFeNi,Al0.5CoCrCuFeNi,AC,SS,FCC,6,1,"H, M",[9],3d_Transition_Metal_Alloy_Family
19,AlCoCrCuFeNi,Al0.75CoCrCu0.25FeNi,AC,SS,BCC+FCC,6,2,M,[7],3d_Transition_Metal_Alloy_Family
20,AlCoCrCuFeNi,Al0.8CoCrCuFeNi,AC,SS,BCC+2FCC,6,3,M,[23],3d_Transition_Metal_Alloy_Family
21,AlCoCrCuFeNi,AlCo0.5CrCu0.5FeNi,AC,IM,B2,6,1,H,[2],3d_Transition_Metal_Alloy_Family
22,AlCoCrCuFeNi,AlCo0.5CrCuFeNi,AC,SS+IM,BCC+FCC+B2,6,3,H,[17],3d_Transition_Metal_Alloy_Family
23,AlCoCrCuFeNi,AlCoCr0.5Cu0.5FeNi,AC,SS+IM,BCC+FCC+B2,6,3,H,[2],3d_Transition_Metal_Alloy_Family
24,AlCoCrCuFeNi,AlCoCr0.5CuFeNi,AC,SS+IM,BCC+FCC+B2,6,3,H,[17],3d_Transition_Metal_Alloy_Family
25,AlCoCrCuFeNi,AlCoCrCu0.25FeNi,AC,SS,BCC,6,1,H,[24],3d_Transition_Metal_Alloy_Family
26,AlCoCrCuFeNi,AlCoCrCu0.5Fe0.5Ni,AC,SS,BCC+FCC,6,2,H,[2],3d_Transition_Metal_Alloy_Family
27,AlCoCrCuFeNi,AlCoCrCu0.5FeNi,AC,SS+IM,BCC+B2,6,2,H,[17],3d_Transition_Metal_Alloy_Family
28,AlCoCrCuFeNi,AlCoCrCu0.5FeNi1.5,AC,SS,BCC+FCC,6,2,H,[2],3d_Transition_Metal_Alloy_Family
29,AlCoCrCuFeNi,AlCoCrCu0.5FeNi2,AC,SS,BCC+FCC,6,2,H,[2],3d_Transition_Metal_Alloy_Family
30,AlCoCrCuFeNi,AlCoCrCu0.5FeNi2.5,AC,SS+IM,BCC+L12,6,2,H,[2],3d_Transition_Metal_Alloy_Family
31,AlCoCrCuFeNi,AlCoCrCu0.5FeNi3,AC,IM,L12,6,1,H,[2],3d_Transition_Metal_Alloy_Family
32,AlCoCrCuFeNi,AlCoCrCu0.5Fe1.5Ni,AC,SS+IM,FCC+B2,6,2,H,[2],3d_Transition_Metal_Alloy_Family
33,AlCoCrCuFeNi,AlCoCrCu0.5Fe2Ni,AC,SS+IM,FCC+B2,6,2,H,[2],3d_Transition_Metal_Alloy_Family
34,AlCoCrCuFeNi,AlCoCrCuFe0.5Ni,AC,SS+IM,BCC+FCC+B2,6,3,H,[17],3d_Transition_Metal_Alloy_Family
35,AlCoCrCuFeNi,AlCoCrCuFeNi0.5,AC,SS+IM,BCC+FCC+B2,6,3,H,[17],3d_Transition_Metal_Alloy_Family
36,AlCoCrCuFeNi,AlCoCrCuFeNi,AC,SS,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
37,AlCoCrCuFeNi,AlCoCr1.5Cu0.5FeNi,AC,SS,BCC+FCC,6,2,"H, M",[2],3d_Transition_Metal_Alloy_Family
38,AlCoCrCuFeNi,AlCoCr2Cu0.5FeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[2],3d_Transition_Metal_Alloy_Family
39,AlCoCrCuFeNi,AlCo1.5CrCu0.5FeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[2],3d_Transition_Metal_Alloy_Family
40,AlCoCrCuFeNi,AlCo2CrCu0.5FeNi,AC,SS,BCC+FCC,6,2,"H, M",[2],3d_Transition_Metal_Alloy_Family
41,AlCoCrCuFeNi,AlCo3CrCu0.5FeNi,AC,SS,BCC+FCC,6,2,"H, M",[2],3d_Transition_Metal_Alloy_Family
42,AlCoCrCuFeNi,AlCo3.5CrCu0.5FeNi,AC,SS,FCC,6,1,"H, M",[2],3d_Transition_Metal_Alloy_Family
43,AlCoCrCuFeNi,Al1.3CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
44,AlCoCrCuFeNi,Al1.4Co0.9Cr1.4Cu0.5Fe0.9Ni,AC,SS+IM,BCC+B2+Unk,6,3,H,[11],3d_Transition_Metal_Alloy_Family
45,AlCoCrCuFeNi,Al1.5CoCrCu0.5FeNi,AC,IM,B2,6,1,H,[2],3d_Transition_Metal_Alloy_Family
46,AlCoCrCuFeNi,Al1.5CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
47,AlCoCrCuFeNi,Al1.8CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
48,AlCoCrCuFeNi,Al2CoCrCu0.5FeNi,AC,IM,B2,6,1,"H, M",[2],3d_Transition_Metal_Alloy_Family
49,AlCoCrCuFeNi,Al2CoCrCuFeNi,AC,SS+IM,BCC+FCC,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
50,AlCoCrCuFeNi,Al2.3CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
51,AlCoCrCuFeNi,Al2.5CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
52,AlCoCrCuFeNi,Al2.8CoCrCuFeNi,AC,IM,B2,6,1,"H, M",[9],3d_Transition_Metal_Alloy_Family
53,AlCoCrCuFeNi,Al3CoCrCuFeNi,AC,IM,B2,6,1,"H, M",[9],3d_Transition_Metal_Alloy_Family
54,AlCoCrCuFeNiSi,AlCoCrCu0.5FeNiSi,AC,SS,AM,7,1,MT,[32],3d_Transition_Metal_Alloy_Family
55,AlCoCrCuFeNiSi,AlCoCrCuFeNiSi,AC,SS,BCC+FCC,7,2,H,[25],3d_Transition_Metal_Alloy_Family
56,AlCoCrCuFeNiTi,Al0.25CoCrCu0.75FeNiTi0.5,AC,SS,2FCC,7,2,M,[33],3d_Transition_Metal_Alloy_Family
57,AlCoCrCuFeNiTi,Al0.5CoCrCu0.5FeNiTi0.5,AC,SS,2BCC+FCC,7,3,M,[33],3d_Transition_Metal_Alloy_Family
58,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi0.2,AC,SS,FCC,7,1,"H, W ",[15],3d_Transition_Metal_Alloy_Family
59,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi0.4,AC,SS,2BCC+FCC,7,3,"H, W ",[15],3d_Transition_Metal_Alloy_Family
60,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi0.6,AC,SS,2BCC+FCC,7,3,"H, W ",[15],3d_Transition_Metal_Alloy_Family
61,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi0.8,AC,SS+IM,2BCC+FCC+s,7,4,"H, W ",[15],3d_Transition_Metal_Alloy_Family
62,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi,AC,SS+IM,2BCC+FCC+s,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
63,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi1.2,AC,SS+IM,2BCC+FCC+NiTi2+s,7,5,"H, W",[15],3d_Transition_Metal_Alloy_Family
64,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi1.4,AC,SS+IM,BCC+FCC+B2+NiTi2,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
