,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm, min Number, max Number, range Number, mean Number, avg_dev Number, mode Number, min MendeleevNumber, max MendeleevNumber, range MendeleevNumber, mean MendeleevNumber, avg_dev MendeleevNumber, mode MendeleevNumber, min AtomicWeight, max AtomicWeight, range AtomicWeight, mean AtomicWeight, avg_dev AtomicWeight, mode AtomicWeight, min MeltingT, max MeltingT, range MeltingT, mean MeltingT, avg_dev MeltingT, mode MeltingT, min Column, max Column, range Column, mean Column, avg_dev Column, mode Column, min Row, max Row, range Row, mean Row, avg_dev Row, mode Row, min CovalentRadius, max CovalentRadius, range CovalentRadius, mean CovalentRadius, avg_dev CovalentRadius, mode CovalentRadius, min Electronegativity, max Electronegativity, range Electronegativity, mean Electronegativity, avg_dev Electronegativity, mode Electronegativity, min NsValence, max NsValence, range NsValence, mean NsValence, avg_dev NsValence, mode NsValence, min NpValence, max NpValence, range NpValence, mean NpValence, avg_dev NpValence, mode NpValence, min NdValence, max NdValence, range NdValence, mean NdValence, avg_dev NdValence, mode NdValence, min NfValence, max NfValence, range NfValence, mean NfValence, avg_dev NfValence, mode NfValence, min NValence, max NValence, range NValence, mean NValence, avg_dev NValence, mode NValence, min NsUnfilled, max NsUnfilled, range NsUnfilled, mean NsUnfilled, avg_dev NsUnfilled, mode NsUnfilled, min NpUnfilled, max NpUnfilled, range NpUnfilled, mean NpUnfilled, avg_dev NpUnfilled, mode NpUnfilled, min NdUnfilled, max NdUnfilled, range NdUnfilled, mean NdUnfilled, avg_dev NdUnfilled, mode NdUnfilled, min NfUnfilled, max NfUnfilled, range NfUnfilled, mean NfUnfilled, avg_dev NfUnfilled, mode NfUnfilled, min NUnfilled, max NUnfilled, range NUnfilled, mean NUnfilled, avg_dev NUnfilled, mode NUnfilled, min GSvolume_pa, max GSvolume_pa, range GSvolume_pa, mean GSvolume_pa, avg_dev GSvolume_pa, mode GSvolume_pa, min GSbandgap, max GSbandgap, range GSbandgap, mean GSbandgap, avg_dev GSbandgap, mode GSbandgap, min GSmagmom, max GSmagmom, range GSmagmom, mean GSmagmom, avg_dev GSmagmom, mode GSmagmom, min SpaceGroupNumber, max SpaceGroupNumber, range SpaceGroupNumber, mean SpaceGroupNumber, avg_dev SpaceGroupNumber, mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char
0,6,0.408248290463863,0.3028534321386899,0.23849484685087588,0.2152847236817911,0.1993718664752192,13.0,47.0,34.0,28.0,6.666666666666667,13.0,49.0,73.0,24.0,61.666666666666664,5.666666666666667,49.0,26.9815386,107.8682,80.88666140000001,61.3364056,16.247129599999997,26.9815386,933.47,2180.0,1246.53,1533.695,358.305,933.47,6.0,13.0,7.0,10.0,1.6666666666666667,6.0,3.0,5.0,2.0,4.0,0.3333333333333333,3.0,121.0,145.0,24.0,131.16666666666666,7.5,121.0,1.61,1.93,0.31999999999999984,1.8150000000000002,0.11999999999999988,1.61,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777785,0.0,0.0,10.0,10.0,6.666666666666667,2.7777777777777772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.333333333333334,2.5555555555555554,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,5.0,5.0,0.8333333333333334,1.3888888888888886,0.0,0.0,5.0,5.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.0,1.6666666666666667,1.0,10.245,16.48,6.235000000000001,12.605833333333331,2.532777777777777,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.3573109833333334,0.4764146444444444,0.0,194.0,229.0,35.0,220.5,8.833333333333334,194.0,1.5,0.16666666666666666,6.666666666666667,0.0,False,0.025275098398206075,0.00411670143326716
1,6,0.408248290463863,0.3028534321386899,0.23849484685087588,0.2152847236817911,0.1993718664752192,13.0,79.0,66.0,33.333333333333336,15.222222222222229,13.0,49.0,73.0,24.0,61.833333333333336,5.833333333333333,49.0,26.9815386,196.966569,169.9850304,76.18613376666666,40.26014507777777,26.9815386,933.47,2180.0,1246.53,1550.7616666666665,341.23833333333334,933.47,6.0,13.0,7.0,10.0,1.6666666666666667,6.0,3.0,6.0,3.0,4.166666666666667,0.6111111111111113,3.0,121.0,139.0,18.0,129.66666666666666,6.0,121.0,1.61,2.54,0.9299999999999999,1.9166666666666667,0.20777777777777787,1.61,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777785,0.0,0.0,10.0,10.0,6.666666666666667,2.7777777777777772,0.0,0.0,14.0,14.0,2.3333333333333335,3.888888888888888,0.0,3.0,25.0,22.0,10.666666666666666,4.888888888888888,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,5.0,5.0,0.8333333333333334,1.3888888888888886,0.0,0.0,5.0,5.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.0,1.6666666666666667,1.0,10.245,16.7,6.455,12.667499999999999,2.6149999999999998,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.3573109833333334,0.4764146444444444,0.0,194.0,229.0,35.0,220.5,8.833333333333334,194.0,1.5,0.16666666666666666,6.666666666666667,2.3333333333333335,False,0.19444596817579662,0.021370764962972175
2,5,0.4581228472908512,0.3563927033328696,0.293680717557935,0.27096744364926284,0.2552725325133099,13.0,29.0,16.0,23.22222222222222,4.5432098765432105,13.0,49.0,73.0,24.0,59.333333333333336,7.111111111111111,49.0,26.9815386,63.546,36.5644614,50.11751857777777,10.282657767901235,26.9815386,933.47,2180.0,1246.53,1638.078888888889,375.4503703703703,933.47,6.0,13.0,7.0,9.222222222222221,2.074074074074074,6.0,3.0,4.0,1.0,3.7777777777777777,0.34567901234567905,3.0,121.0,139.0,18.0,129.77777777777777,5.580246913580248,121.0,1.61,1.9,0.2899999999999998,1.7622222222222224,0.11308641975308638,1.61,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,1.0,0.0,1.0,1.0,0.2222222222222222,0.34567901234567905,0.0,0.0,10.0,10.0,5.111111111111111,2.3209876543209877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.0,2.2222222222222223,3.0,0.0,1.0,1.0,0.3333333333333333,0.44444444444444453,0.0,0.0,5.0,5.0,1.1111111111111112,1.7283950617283947,0.0,0.0,5.0,5.0,2.6666666666666665,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.111111111111111,1.2345679012345678,3.0,10.245,16.48,6.235000000000001,12.040000000000001,1.9733333333333338,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8131408888888889,0.9034898765432098,0.0,194.0,229.0,35.0,219.88888888888889,11.506172839506174,194.0,1.6666666666666667,0.2222222222222222,5.111111111111111,0.0,False,0.020805515598651292,0.0033963440926934423
3,5,0.447213595499958,0.34199518933533946,0.27594593229224296,0.25169979012836535,0.2349237886176038,13.0,29.0,16.0,23.8,4.319999999999999,13.0,49.0,73.0,24.0,59.8,6.959999999999999,49.0,26.9815386,63.546,36.5644614,51.46036672,9.791531247999997,26.9815386,933.47,2180.0,1246.53,1610.048,371.5424,933.47,6.0,13.0,7.0,9.4,2.08,6.0,3.0,4.0,1.0,3.8,0.3200000000000001,3.0,121.0,139.0,18.0,130.0,5.2,121.0,1.61,1.9,0.2899999999999998,1.7760000000000002,0.11279999999999993,1.61,1.0,2.0,1.0,1.6,0.48,1.0,0.0,1.0,1.0,0.2,0.31999999999999995,0.0,0.0,10.0,10.0,5.6,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.4,2.32,3.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,5.0,5.0,2.4,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.8,1.44,1.0,10.245,16.48,6.235000000000001,11.943000000000001,1.814800000000001,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7318268,0.87819216,0.0,194.0,229.0,35.0,220.4,10.559999999999997,194.0,1.6,0.2,5.6,0.0,False,0.020805515598651292,0.0034795702444848646
4,7,0.3779644730092272,0.27327588325319846,0.21082473737065027,0.18863846396516054,0.1735448634341524,13.0,29.0,16.0,24.571428571428573,3.4693877551020402,13.0,49.0,73.0,24.0,58.857142857142854,6.122448979591836,49.0,26.9815386,63.546,36.5644614,52.99046837142857,7.715228040816327,26.9815386,933.47,2180.0,1246.53,1613.8914285714286,294.6955102040816,933.47,6.0,13.0,7.0,9.142857142857142,1.8775510204081631,6.0,3.0,4.0,1.0,3.857142857142857,0.24489795918367344,3.0,121.0,139.0,18.0,130.42857142857142,5.795918367346941,121.0,1.55,1.91,0.3599999999999999,1.7628571428571431,0.13387755102040808,1.55,1.0,2.0,1.0,1.7142857142857142,0.4081632653061224,1.0,0.0,1.0,1.0,0.14285714285714285,0.24489795918367344,0.0,0.0,10.0,10.0,5.857142857142857,2.1632653061224487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.714285714285714,2.0408163265306123,3.0,0.0,1.0,1.0,0.2857142857142857,0.4081632653061224,0.0,0.0,5.0,5.0,0.7142857142857143,1.2244897959183674,0.0,0.0,5.0,5.0,2.7142857142857144,1.7551020408163265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.7142857142857144,1.4693877551020407,1.0,10.245,16.48,6.235000000000001,11.503226600985714,1.4219352568612247,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6078341172413794,0.698133075862069,0.0,194.0,229.0,35.0,220.57142857142858,8.612244897959178,194.0,1.7142857142857142,0.14285714285714285,5.857142857142857,0.0,False,0.031880743083437246,0.004873852220419414
5,9,0.3484538970124962,0.2461738765751368,0.186549873588751,0.16564925588832344,0.15152546625959984,13.0,29.0,16.0,25.307692307692307,2.158579881656805,22.0,43.0,73.0,30.0,53.8,6.203076923076923,43.0,26.9815386,63.546,36.5644614,54.90866859384616,4.286103884497041,47.867,933.47,2183.0,1249.53,1797.471230769231,227.72063431952662,1357.77,4.0,13.0,9.0,7.584615384615384,2.0525443786982245,4.0,3.0,4.0,1.0,3.9846153846153847,0.030295857988165628,4.0,121.0,160.0,39.0,137.86153846153846,9.736331360946744,124.0,1.54,1.91,0.3699999999999999,1.7355384615384615,0.14223905325443786,1.54,1.0,2.0,1.0,1.7538461538461538,0.3711242603550296,1.0,0.0,1.0,1.0,0.015384615384615385,0.030295857988165684,0.0,0.0,10.0,10.0,5.661538461538462,2.0563313609467455,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.430769230769231,2.0373964497041417,4.0,0.0,1.0,1.0,0.24615384615384617,0.3711242603550296,0.0,0.0,5.0,5.0,0.07692307692307693,0.15147928994082838,0.0,0.0,8.0,8.0,4.184615384615385,2.0336094674556215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.507692307692308,1.9768047337278105,1.0,10.245,16.69,6.445000000000002,11.791087533156924,1.650200367271764,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5236752435720602,0.6605545770544787,0.0,194.0,229.0,35.0,217.86153846153846,11.959289940828404,194.0,1.7538461538461538,0.015384615384615385,5.661538461538462,0.0,False,0.033645949486530435,0.005435961607890867
6,9,0.3441762633818348,0.2425819680656314,0.18372770539425967,0.1631395950960431,0.1492296276389455,13.0,29.0,16.0,25.12121212121212,2.3067033976124884,22.0,43.0,73.0,30.0,54.09090909090909,6.3911845730027546,43.0,26.9815386,63.546,36.5644614,54.48553026060606,4.734057865932048,47.867,933.47,2183.0,1249.53,1784.3803030303031,236.9645546372819,1357.77,4.0,13.0,9.0,7.666666666666667,2.1010101010101008,4.0,3.0,4.0,1.0,3.9696969696969697,0.05876951331496783,4.0,121.0,160.0,39.0,137.6060606060606,9.836547291092746,124.0,1.54,1.91,0.3699999999999999,1.7336363636363634,0.14192837465564737,1.54,1.0,2.0,1.0,1.7575757575757576,0.3673094582185491,1.0,0.0,1.0,1.0,0.030303030303030304,0.05876951331496786,0.0,0.0,10.0,10.0,5.575757575757576,2.108356290174472,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.363636363636363,2.071625344352617,4.0,0.0,1.0,1.0,0.24242424242424243,0.3673094582185491,0.0,0.0,5.0,5.0,0.15151515151515152,0.2938475665748393,0.0,0.0,8.0,8.0,4.121212121212121,2.0642791551882462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.515151515151516,1.9540863177226813,1.0,10.245,16.69,6.445000000000002,11.862131661442424,1.7285342452738295,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5157407701846047,0.6563167004718028,0.0,194.0,229.0,35.0,217.96969696969697,11.856749311294765,194.0,1.7575757575757576,0.030303030303030304,5.575757575757576,0.0,False,0.033645949486530435,0.005412042545087862
7,9,0.3352594185513033,0.23353585835387441,0.1754092725841488,0.15540393455685458,0.14203283139555795,13.0,29.0,16.0,24.534025374855826,2.84426139001635,22.0,43.0,73.0,30.0,55.00692041522491,6.928397249394364,43.0,26.9815386,63.546,36.5644614,53.153156962168396,6.041489086310961,47.867,933.47,2183.0,1249.53,1743.1597347174165,269.25059432823946,1357.77,4.0,13.0,9.0,7.925028835063438,2.2376275294703,4.0,3.0,4.0,1.0,3.9227220299884658,0.14261217072486115,4.0,121.0,160.0,39.0,136.80161476355246,10.102316250470606,124.0,1.54,1.91,0.3699999999999999,1.7276470588235293,0.14057941515706626,1.54,1.0,2.0,1.0,1.7693194925028835,0.3549340219159786,1.0,0.0,1.0,1.0,0.07727797001153403,0.14261217072486096,0.0,0.0,10.0,10.0,5.3056516724336795,2.2554540508109073,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.1522491349480966,2.166321444107869,4.0,0.0,1.0,1.0,0.2306805074971165,0.3549340219159785,0.0,0.0,5.0,5.0,0.3863898500576701,0.7130608536243048,0.0,0.0,8.0,8.0,3.9215686274509802,2.166587511590565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.538638985005767,1.8810971026581471,1.0,10.245,16.69,6.445000000000002,12.085834625940024,1.9544225025928812,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.49075678823794566,0.6418127647718946,0.0,194.0,229.0,35.0,218.31026528258363,11.518061325894084,194.0,1.7693194925028835,0.07727797001153403,5.3056516724336795,0.0,False,0.033645949486530435,0.005324980426890547
8,7,0.3963937331433712,0.2932141682762503,0.23080392652416762,0.2083401186699809,0.19294051627304568,13.0,42.0,29.0,25.06451612903226,4.235171696149843,13.0,49.0,73.0,24.0,59.677419354838705,6.118626430801249,49.0,26.9815386,95.96,68.97846139999999,54.06245703225807,9.40234692403746,26.9815386,933.47,2896.0,1962.53,1670.5548387096774,338.6676378772113,933.47,6.0,13.0,7.0,9.387096774193548,1.8834547346514048,6.0,3.0,5.0,2.0,3.8709677419354835,0.2809573361082208,3.0,121.0,154.0,33.0,129.8064516129032,5.941727367325703,121.0,1.61,2.16,0.55,1.81,0.11290322580645157,1.61,1.0,2.0,1.0,1.6451612903225805,0.4578563995837669,1.0,0.0,1.0,1.0,0.16129032258064516,0.2705515088449532,0.0,0.0,10.0,10.0,5.967741935483871,2.299687825182102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.774193548387097,2.2268470343392304,3.0,0.0,1.0,1.0,0.3548387096774194,0.4578563995837669,0.0,0.0,5.0,5.0,0.8064516129032258,1.3527575442247657,0.0,0.0,5.0,5.0,2.4193548387096775,1.6961498439125908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.5806451612903225,1.5296566077003122,1.0,10.245,16.48,6.235000000000001,11.802096774193549,1.759833506763788,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6862143064516129,0.7376468990634755,0.0,194.0,229.0,35.0,221.41935483870967,8.844953173777323,194.0,1.6451612903225805,0.16129032258064516,5.967741935483871,0.0,False,0.0728361721882469,0.004395957139592524
13,6,0.4301162633521314,0.3286569225721215,0.2669733740709835,0.244949236549885,0.23006108164661093,13.0,29.0,16.0,26.0,2.1,24.0,49.0,73.0,24.0,57.85,4.68,49.0,26.9815386,63.546,36.5644614,55.97451593000001,4.542470476999998,51.9961,933.47,2180.0,1246.53,1747.739,206.3132,1728.0,6.0,13.0,7.0,8.9,1.52,6.0,3.0,4.0,1.0,3.95,0.09499999999999983,4.0,121.0,139.0,18.0,130.05,4.9449999999999985,124.0,1.61,1.91,0.2999999999999998,1.8215,0.08575000000000002,1.66,1.0,2.0,1.0,1.65,0.45499999999999996,1.0,0.0,1.0,1.0,0.05,0.095,0.0,0.0,10.0,10.0,6.7,1.6299999999999997,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.4,1.6599999999999997,6.0,0.0,1.0,1.0,0.35,0.45499999999999996,0.0,0.0,5.0,5.0,0.25,0.475,0.0,0.0,5.0,5.0,2.8,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.4,1.44,2.0,10.245,16.48,6.235000000000001,10.9815,0.6598,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.85090574,0.782929008,0.0,194.0,229.0,35.0,220.4,10.559999999999997,194.0,1.65,0.05,6.7,0.0,False,0.022248762806663658,0.0026421536387935176
