,Composition_Formula,GBTPredict
0,MgAlTiV,1.0
1,MgAlTiCr,2.0
2,MgAlTiMn,2.0
3,MgAlTiFe,2.0
4,MgAlTiCo,2.0
5,MgAlTiNi,2.0
6,MgAlTiCu,2.0
7,MgAlTiZn,2.0
8,MgAlTiZr,1.0
9,MgAlTiNb,1.0
10,MgAlTiMo,2.0
11,MgAlTiPd,2.0
12,MgAlTiHf,1.0
13,MgAlTiTa,1.0
14,MgAlVCr,2.0
15,MgAlVMn,2.0
16,MgAlVFe,2.0
17,MgAlVCo,2.0
18,MgAlVNi,2.0
19,MgAlVCu,2.0
20,MgAlVZn,2.0
21,MgAlVZr,1.0
22,MgAlVNb,1.0
23,MgAlVMo,2.0
24,MgAlVPd,2.0
25,MgAlVHf,1.0
26,MgAlVTa,1.0
27,MgAlCrMn,2.0
28,MgAlCrFe,2.0
29,MgAlCrCo,2.0
30,MgAlCrNi,2.0
31,MgAlCrCu,2.0
32,MgAlCrZn,2.0
33,MgAlCrZr,2.0
34,MgAlCrNb,2.0
35,MgAlCrMo,2.0
36,MgAlCrPd,2.0
37,MgAlCrHf,2.0
38,MgAlCrTa,2.0
39,MgAlMnFe,2.0
40,MgAlMnCo,2.0
41,MgAlMnNi,2.0
42,MgAlMnCu,2.0
43,MgAlMnZn,2.0
44,MgAlMnZr,2.0
45,MgAlMnNb,2.0
46,MgAlMnMo,2.0
47,MgAlMnPd,2.0
48,MgAlMnHf,2.0
49,MgAlMnTa,2.0
50,MgAlFeCo,2.0
51,MgAlFeNi,2.0
52,MgAlFeCu,2.0
53,MgAlFeZn,2.0
54,MgAlFeZr,2.0
55,MgAlFeNb,2.0
56,MgAlFeMo,2.0
57,MgAlFePd,2.0
58,MgAlFeHf,2.0
59,MgAlFeTa,1.0
60,MgAlCoNi,2.0
61,MgAlCoCu,2.0
62,MgAlCoZn,2.0
63,MgAlCoZr,2.0
64,MgAlCoNb,2.0
65,MgAlCoMo,2.0
66,MgAlCoPd,2.0
67,MgAlCoHf,1.0
68,MgAlCoTa,1.0
69,MgAlNiCu,2.0
70,MgAlNiZn,2.0
71,MgAlNiZr,2.0
72,MgAlNiNb,2.0
73,MgAlNiMo,2.0
74,MgAlNiPd,2.0
75,MgAlNiHf,1.0
76,MgAlNiTa,2.0
77,MgAlCuZn,2.0
78,MgAlCuZr,2.0
79,MgAlCuNb,2.0
80,MgAlCuMo,2.0
81,MgAlCuPd,2.0
82,MgAlCuHf,1.0
83,MgAlCuTa,2.0
84,MgAlZnZr,2.0
85,MgAlZnNb,2.0
86,MgAlZnMo,2.0
87,MgAlZnPd,2.0
88,MgAlZnHf,1.0
89,MgAlZnTa,1.0
90,MgAlZrNb,1.0
91,MgAlZrMo,2.0
92,MgAlZrPd,2.0
93,MgAlZrHf,1.0
94,MgAlZrTa,1.0
95,MgAlNbMo,2.0
96,MgAlNbPd,2.0
97,MgAlNbHf,1.0
98,MgAlNbTa,1.0
99,MgAlMoPd,2.0
100,MgAlMoHf,1.0
101,MgAlMoTa,1.0
102,MgAlPdHf,1.0
103,MgAlPdTa,1.0
104,MgAlHfTa,1.0
105,MgTiVCr,2.0
106,MgTiVMn,1.0
107,MgTiVFe,1.0
108,MgTiVCo,1.0
109,MgTiVNi,1.0
110,MgTiVCu,1.0
111,MgTiVZn,1.0
112,MgTiVZr,1.0
113,MgTiVNb,1.0
114,MgTiVMo,1.0
115,MgTiVPd,2.0
116,MgTiVHf,1.0
117,MgTiVTa,1.0
118,MgTiCrMn,1.0
119,MgTiCrFe,2.0
120,MgTiCrCo,2.0
121,MgTiCrNi,2.0
122,MgTiCrCu,2.0
123,MgTiCrZn,1.0
124,MgTiCrZr,0.0
125,MgTiCrNb,2.0
126,MgTiCrMo,2.0
127,MgTiCrPd,2.0
128,MgTiCrHf,1.0
129,MgTiCrTa,1.0
130,MgTiMnFe,1.0
131,MgTiMnCo,1.0
132,MgTiMnNi,1.0
133,MgTiMnCu,2.0
134,MgTiMnZn,2.0
135,MgTiMnZr,1.0
136,MgTiMnNb,2.0
137,MgTiMnMo,2.0
138,MgTiMnPd,2.0
139,MgTiMnHf,1.0
140,MgTiMnTa,1.0
141,MgTiFeCo,1.0
142,MgTiFeNi,2.0
143,MgTiFeCu,2.0
144,MgTiFeZn,2.0
145,MgTiFeZr,1.0
146,MgTiFeNb,2.0
147,MgTiFeMo,2.0
148,MgTiFePd,2.0
149,MgTiFeHf,1.0
150,MgTiFeTa,1.0
151,MgTiCoNi,1.0
152,MgTiCoCu,1.0
153,MgTiCoZn,2.0
154,MgTiCoZr,1.0
155,MgTiCoNb,1.0
156,MgTiCoMo,2.0
157,MgTiCoPd,2.0
158,MgTiCoHf,1.0
159,MgTiCoTa,1.0
160,MgTiNiCu,2.0
161,MgTiNiZn,2.0
162,MgTiNiZr,2.0
163,MgTiNiNb,2.0
164,MgTiNiMo,2.0
165,MgTiNiPd,2.0
166,MgTiNiHf,1.0
167,MgTiNiTa,1.0
168,MgTiCuZn,2.0
169,MgTiCuZr,2.0
170,MgTiCuNb,2.0
171,MgTiCuMo,2.0
172,MgTiCuPd,2.0
173,MgTiCuHf,1.0
174,MgTiCuTa,1.0
175,MgTiZnZr,1.0
176,MgTiZnNb,1.0
177,MgTiZnMo,1.0
178,MgTiZnPd,2.0
179,MgTiZnHf,1.0
180,MgTiZnTa,1.0
181,MgTiZrNb,1.0
182,MgTiZrMo,1.0
183,MgTiZrPd,2.0
184,MgTiZrHf,1.0
185,MgTiZrTa,1.0
186,MgTiNbMo,2.0
187,MgTiNbPd,2.0
188,MgTiNbHf,1.0
189,MgTiNbTa,1.0
190,MgTiMoPd,2.0
191,MgTiMoHf,1.0
192,MgTiMoTa,1.0
193,MgTiPdHf,1.0
194,MgTiPdTa,1.0
195,MgTiHfTa,1.0
196,MgVCrMn,1.0
197,MgVCrFe,2.0
198,MgVCrCo,2.0
199,MgVCrNi,2.0
200,MgVCrCu,2.0
201,MgVCrZn,2.0
202,MgVCrZr,2.0
203,MgVCrNb,2.0
204,MgVCrMo,2.0
205,MgVCrPd,2.0
206,MgVCrHf,1.0
207,MgVCrTa,1.0
208,MgVMnFe,1.0
209,MgVMnCo,1.0
210,MgVMnNi,2.0
211,MgVMnCu,2.0
212,MgVMnZn,2.0
213,MgVMnZr,2.0
214,MgVMnNb,2.0
215,MgVMnMo,2.0
216,MgVMnPd,2.0
217,MgVMnHf,1.0
218,MgVMnTa,1.0
219,MgVFeCo,1.0
220,MgVFeNi,2.0
221,MgVFeCu,2.0
222,MgVFeZn,2.0
223,MgVFeZr,2.0
224,MgVFeNb,2.0
225,MgVFeMo,2.0
226,MgVFePd,2.0
227,MgVFeHf,1.0
228,MgVFeTa,1.0
229,MgVCoNi,2.0
230,MgVCoCu,2.0
231,MgVCoZn,2.0
232,MgVCoZr,0.0
233,MgVCoNb,2.0
234,MgVCoMo,2.0
235,MgVCoPd,2.0
236,MgVCoHf,1.0
237,MgVCoTa,1.0
238,MgVNiCu,2.0
239,MgVNiZn,2.0
240,MgVNiZr,2.0
241,MgVNiNb,2.0
242,MgVNiMo,2.0
243,MgVNiPd,2.0
244,MgVNiHf,1.0
245,MgVNiTa,1.0
246,MgVCuZn,2.0
247,MgVCuZr,2.0
248,MgVCuNb,2.0
249,MgVCuMo,2.0
250,MgVCuPd,2.0
251,MgVCuHf,1.0
252,MgVCuTa,1.0
253,MgVZnZr,1.0
254,MgVZnNb,1.0
255,MgVZnMo,2.0
256,MgVZnPd,2.0
257,MgVZnHf,1.0
258,MgVZnTa,1.0
259,MgVZrNb,1.0
260,MgVZrMo,1.0
261,MgVZrPd,2.0
262,MgVZrHf,1.0
263,MgVZrTa,1.0
264,MgVNbMo,2.0
265,MgVNbPd,2.0
266,MgVNbHf,1.0
267,MgVNbTa,1.0
268,MgVMoPd,1.0
269,MgVMoHf,1.0
270,MgVMoTa,1.0
271,MgVPdHf,1.0
272,MgVPdTa,1.0
273,MgVHfTa,1.0
274,MgCrMnFe,2.0
275,MgCrMnCo,2.0
276,MgCrMnNi,2.0
277,MgCrMnCu,2.0
278,MgCrMnZn,2.0
279,MgCrMnZr,2.0
280,MgCrMnNb,2.0
281,MgCrMnMo,2.0
282,MgCrMnPd,2.0
283,MgCrMnHf,1.0
284,MgCrMnTa,1.0
285,MgCrFeCo,2.0
286,MgCrFeNi,2.0
287,MgCrFeCu,2.0
288,MgCrFeZn,2.0
289,MgCrFeZr,2.0
290,MgCrFeNb,2.0
291,MgCrFeMo,2.0
292,MgCrFePd,2.0
293,MgCrFeHf,1.0
294,MgCrFeTa,1.0
295,MgCrCoNi,2.0
296,MgCrCoCu,2.0
297,MgCrCoZn,2.0
298,MgCrCoZr,2.0
299,MgCrCoNb,2.0
300,MgCrCoMo,2.0
301,MgCrCoPd,2.0
302,MgCrCoHf,1.0
303,MgCrCoTa,1.0
304,MgCrNiCu,2.0
305,MgCrNiZn,2.0
306,MgCrNiZr,2.0
307,MgCrNiNb,2.0
308,MgCrNiMo,2.0
309,MgCrNiPd,2.0
310,MgCrNiHf,1.0
311,MgCrNiTa,1.0
312,MgCrCuZn,2.0
313,MgCrCuZr,2.0
314,MgCrCuNb,2.0
315,MgCrCuMo,2.0
316,MgCrCuPd,2.0
317,MgCrCuHf,2.0
318,MgCrCuTa,2.0
319,MgCrZnZr,1.0
320,MgCrZnNb,2.0
321,MgCrZnMo,2.0
322,MgCrZnPd,2.0
323,MgCrZnHf,1.0
324,MgCrZnTa,1.0
325,MgCrZrNb,2.0
326,MgCrZrMo,2.0
327,MgCrZrPd,2.0
328,MgCrZrHf,1.0
329,MgCrZrTa,1.0
330,MgCrNbMo,2.0
331,MgCrNbPd,2.0
332,MgCrNbHf,2.0
333,MgCrNbTa,1.0
334,MgCrMoPd,2.0
335,MgCrMoHf,1.0
336,MgCrMoTa,1.0
337,MgCrPdHf,1.0
338,MgCrPdTa,1.0
339,MgCrHfTa,1.0
340,MgMnFeCo,1.0
341,MgMnFeNi,2.0
342,MgMnFeCu,2.0
343,MgMnFeZn,2.0
344,MgMnFeZr,1.0
345,MgMnFeNb,2.0
346,MgMnFeMo,2.0
347,MgMnFePd,2.0
348,MgMnFeHf,1.0
349,MgMnFeTa,1.0
350,MgMnCoNi,2.0
351,MgMnCoCu,2.0
352,MgMnCoZn,2.0
353,MgMnCoZr,1.0
354,MgMnCoNb,2.0
355,MgMnCoMo,2.0
356,MgMnCoPd,2.0
357,MgMnCoHf,1.0
358,MgMnCoTa,1.0
359,MgMnNiCu,2.0
360,MgMnNiZn,2.0
361,MgMnNiZr,2.0
362,MgMnNiNb,2.0
363,MgMnNiMo,2.0
364,MgMnNiPd,2.0
365,MgMnNiHf,1.0
366,MgMnNiTa,1.0
367,MgMnCuZn,2.0
368,MgMnCuZr,2.0
369,MgMnCuNb,2.0
370,MgMnCuMo,2.0
371,MgMnCuPd,2.0
372,MgMnCuHf,1.0
373,MgMnCuTa,1.0
374,MgMnZnZr,2.0
375,MgMnZnNb,2.0
376,MgMnZnMo,2.0
377,MgMnZnPd,2.0
378,MgMnZnHf,1.0
379,MgMnZnTa,1.0
380,MgMnZrNb,1.0
381,MgMnZrMo,2.0
382,MgMnZrPd,2.0
383,MgMnZrHf,1.0
384,MgMnZrTa,1.0
385,MgMnNbMo,2.0
386,MgMnNbPd,2.0
387,MgMnNbHf,1.0
388,MgMnNbTa,1.0
389,MgMnMoPd,2.0
390,MgMnMoHf,1.0
391,MgMnMoTa,1.0
392,MgMnPdHf,1.0
393,MgMnPdTa,1.0
394,MgMnHfTa,1.0
395,MgFeCoNi,2.0
396,MgFeCoCu,2.0
397,MgFeCoZn,2.0
398,MgFeCoZr,1.0
399,MgFeCoNb,2.0
400,MgFeCoMo,2.0
401,MgFeCoPd,2.0
402,MgFeCoHf,1.0
403,MgFeCoTa,1.0
404,MgFeNiCu,2.0
405,MgFeNiZn,2.0
406,MgFeNiZr,2.0
407,MgFeNiNb,2.0
408,MgFeNiMo,2.0
409,MgFeNiPd,2.0
410,MgFeNiHf,1.0
411,MgFeNiTa,1.0
412,MgFeCuZn,2.0
413,MgFeCuZr,2.0
414,MgFeCuNb,2.0
415,MgFeCuMo,2.0
416,MgFeCuPd,2.0
417,MgFeCuHf,1.0
418,MgFeCuTa,1.0
419,MgFeZnZr,2.0
420,MgFeZnNb,2.0
421,MgFeZnMo,2.0
422,MgFeZnPd,2.0
423,MgFeZnHf,1.0
424,MgFeZnTa,1.0
425,MgFeZrNb,2.0
426,MgFeZrMo,2.0
427,MgFeZrPd,2.0
428,MgFeZrHf,1.0
429,MgFeZrTa,1.0
430,MgFeNbMo,2.0
431,MgFeNbPd,2.0
432,MgFeNbHf,1.0
433,MgFeNbTa,1.0
434,MgFeMoPd,2.0
435,MgFeMoHf,1.0
436,MgFeMoTa,1.0
437,MgFePdHf,1.0
438,MgFePdTa,1.0
439,MgFeHfTa,1.0
440,MgCoNiCu,1.0
441,MgCoNiZn,1.0
442,MgCoNiZr,2.0
443,MgCoNiNb,2.0
444,MgCoNiMo,2.0
445,MgCoNiPd,2.0
446,MgCoNiHf,1.0
447,MgCoNiTa,1.0
448,MgCoCuZn,1.0
449,MgCoCuZr,2.0
450,MgCoCuNb,2.0
451,MgCoCuMo,2.0
452,MgCoCuPd,2.0
453,MgCoCuHf,1.0
454,MgCoCuTa,1.0
455,MgCoZnZr,2.0
456,MgCoZnNb,2.0
457,MgCoZnMo,2.0
458,MgCoZnPd,2.0
459,MgCoZnHf,1.0
460,MgCoZnTa,1.0
461,MgCoZrNb,1.0
462,MgCoZrMo,2.0
463,MgCoZrPd,2.0
464,MgCoZrHf,1.0
465,MgCoZrTa,1.0
466,MgCoNbMo,2.0
467,MgCoNbPd,2.0
468,MgCoNbHf,1.0
469,MgCoNbTa,1.0
470,MgCoMoPd,2.0
471,MgCoMoHf,1.0
472,MgCoMoTa,1.0
473,MgCoPdHf,1.0
474,MgCoPdTa,1.0
475,MgCoHfTa,1.0
476,MgNiCuZn,1.0
477,MgNiCuZr,2.0
478,MgNiCuNb,2.0
479,MgNiCuMo,2.0
480,MgNiCuPd,2.0
481,MgNiCuHf,1.0
482,MgNiCuTa,1.0
483,MgNiZnZr,2.0
