,Composition_Formula,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm, min Number, max Number, range Number, mean Number, avg_dev Number, mode Number, min MendeleevNumber, max MendeleevNumber, range MendeleevNumber, mean MendeleevNumber, avg_dev MendeleevNumber, mode MendeleevNumber, min AtomicWeight, max AtomicWeight, range AtomicWeight, mean AtomicWeight, avg_dev AtomicWeight, mode AtomicWeight, min MeltingT, max MeltingT, range MeltingT, mean MeltingT, avg_dev MeltingT, mode MeltingT, min Column, max Column, range Column, mean Column, avg_dev Column, mode Column, min Row, max Row, range Row, mean Row, avg_dev Row, mode Row, min CovalentRadius, max CovalentRadius, range CovalentRadius, mean CovalentRadius, avg_dev CovalentRadius, mode CovalentRadius, min Electronegativity, max Electronegativity, range Electronegativity, mean Electronegativity, avg_dev Electronegativity, mode Electronegativity, min NsValence, max NsValence, range NsValence, mean NsValence, avg_dev NsValence, mode NsValence, min NpValence, max NpValence, range NpValence, mean NpValence, avg_dev NpValence, mode NpValence, min NdValence, max NdValence, range NdValence, mean NdValence, avg_dev NdValence, mode NdValence, min NfValence, max NfValence, range NfValence, mean NfValence, avg_dev NfValence, mode NfValence, min NValence, max NValence, range NValence, mean NValence, avg_dev NValence, mode NValence, min NsUnfilled, max NsUnfilled, range NsUnfilled, mean NsUnfilled, avg_dev NsUnfilled, mode NsUnfilled, min NpUnfilled, max NpUnfilled, range NpUnfilled, mean NpUnfilled, avg_dev NpUnfilled, mode NpUnfilled, min NdUnfilled, max NdUnfilled, range NdUnfilled, mean NdUnfilled, avg_dev NdUnfilled, mode NdUnfilled, min NfUnfilled, max NfUnfilled, range NfUnfilled, mean NfUnfilled, avg_dev NfUnfilled, mode NfUnfilled, min NUnfilled, max NUnfilled, range NUnfilled, mean NUnfilled, avg_dev NUnfilled, mode NUnfilled, min GSvolume_pa, max GSvolume_pa, range GSvolume_pa, mean GSvolume_pa, avg_dev GSvolume_pa, mode GSvolume_pa, min GSbandgap, max GSbandgap, range GSbandgap, mean GSbandgap, avg_dev GSbandgap, mode GSbandgap, min GSmagmom, max GSmagmom, range GSmagmom, mean GSmagmom, avg_dev GSmagmom, mode GSmagmom, min SpaceGroupNumber, max SpaceGroupNumber, range SpaceGroupNumber, mean SpaceGroupNumber, avg_dev SpaceGroupNumber, mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char
0,AlCrTaZr,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,73.0,60.0,37.5,19.0,13.0,44.0,73.0,29.0,53.5,9.75,44.0,26.9815386,180.94788,153.9663414,87.78737965,48.29856035,26.9815386,933.47,3290.0,2356.5299999999997,2132.8675000000003,602.1324999999999,933.47,4.0,13.0,9.0,7.0,3.0,4.0,3.0,6.0,3.0,4.5,1.0,3.0,121.0,175.0,54.0,151.25,21.25,121.0,1.33,1.66,0.32999999999999985,1.525,0.10999999999999999,1.33,1.0,2.0,1.0,1.75,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.5,1.5,0.0,0.0,14.0,14.0,3.5,5.25,0.0,3.0,19.0,16.0,8.0,5.5,3.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,8.0,8.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.5,1.0,5.0,11.19,23.195,12.005,17.246250000000003,3.4112500000000003,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,219.25,12.625,194.0,1.75,0.25,2.5,3.5,False,0.0268577401186475,0.003968166812192864
1,AlCrTaTi,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,73.0,60.0,33.0,20.0,13.0,43.0,73.0,30.0,53.25,9.875,43.0,26.9815386,180.94788,153.9663414,76.94812965000001,51.99987517500001,26.9815386,933.47,3290.0,2356.5299999999997,2086.1175000000003,648.8824999999999,933.47,4.0,13.0,9.0,7.0,3.0,4.0,3.0,6.0,3.0,4.25,0.875,3.0,121.0,170.0,49.0,147.5,17.5,121.0,1.5,1.66,0.15999999999999992,1.5775,0.057499999999999996,1.5,1.0,2.0,1.0,1.75,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.5,1.5,0.0,0.0,14.0,14.0,3.5,5.25,0.0,3.0,19.0,16.0,8.0,5.5,3.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,8.0,8.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.5,1.0,5.0,11.19,18.12,6.9300000000000015,15.620000000000001,2.2150000000000003,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.633333333325e-06,8.4499999999875e-06,0.0,194.0,229.0,35.0,219.25,12.625,194.0,1.75,0.25,2.5,3.5,False,0.006379563620851014,0.0009526559637465029
2,AlCrTaMo,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,73.0,60.0,38.0,19.5,13.0,48.0,73.0,25.0,55.0,9.0,48.0,26.9815386,180.94788,153.9663414,88.97137965,49.48256034999999,26.9815386,933.47,3290.0,2356.5299999999997,2324.8675000000003,768.1324999999999,933.47,5.0,13.0,8.0,7.5,2.75,5.0,3.0,6.0,3.0,4.5,1.0,3.0,121.0,170.0,49.0,146.0,16.0,121.0,1.5,2.16,0.6600000000000001,1.7325,0.21375,1.5,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,3.25,1.75,0.0,0.0,14.0,14.0,3.5,5.25,0.0,3.0,19.0,16.0,8.5,5.25,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,7.0,7.0,4.25,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,6.0,0.5,5.0,11.19,18.12,6.9300000000000015,15.370000000000001,2.09,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,228.0,1.5,225.0,1.5,0.25,3.25,3.5,False,0.10317990497621321,0.015414238249842026
3,AlCrTaV,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,73.0,60.0,33.25,19.875,13.0,46.0,73.0,27.0,54.0,9.5,46.0,26.9815386,180.94788,153.9663414,77.71675465000001,51.61556267500001,26.9815386,933.47,3290.0,2356.5299999999997,2146.6175000000003,606.5737499999998,933.47,5.0,13.0,8.0,7.25,2.875,5.0,3.0,6.0,3.0,4.25,0.875,3.0,121.0,170.0,49.0,145.75,15.75,121.0,1.5,1.66,0.15999999999999992,1.5999999999999999,0.050000000000000044,1.5,1.0,2.0,1.0,1.75,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.75,1.375,0.0,0.0,14.0,14.0,3.5,5.25,0.0,3.0,19.0,16.0,8.25,5.375,3.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,7.0,7.0,4.75,2.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,6.25,0.75,5.0,11.19,18.12,6.9300000000000015,14.700000000000001,2.6000000000000005,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,228.0,1.5,225.0,1.75,0.25,2.75,3.5,False,0.006379563620851014,0.0009103659112564
4,AlCrTaPd,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,73.0,60.0,39.0,20.5,13.0,48.0,73.0,25.0,58.0,9.5,48.0,26.9815386,180.94788,153.9663414,91.58637965000001,52.097560349999995,26.9815386,933.47,3290.0,2356.5299999999997,2057.88,677.1199999999999,933.47,5.0,13.0,8.0,8.5,3.0,5.0,3.0,6.0,3.0,4.5,1.0,3.0,121.0,170.0,49.0,142.25,13.875,121.0,1.5,2.2,0.7000000000000002,1.7425,0.22875,1.5,0.0,2.0,2.0,1.25,0.75,0.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,10.0,10.0,4.5,3.0,0.0,0.0,14.0,14.0,3.5,5.25,0.0,3.0,19.0,16.0,9.5,5.0,3.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.5,2.25,0.0,11.19,18.12,6.9300000000000015,15.05,2.2500000000000004,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,227.0,2.0,225.0,1.25,0.25,4.5,3.5,False,0.11529409505651655,0.017435682434614345
5,AlCrTaNb,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,73.0,60.0,37.75,19.25,13.0,47.0,73.0,26.0,54.25,9.375,47.0,26.9815386,180.94788,153.9663414,88.20797465000001,48.719155349999994,26.9815386,933.47,3290.0,2356.5299999999997,2288.3675000000003,731.6324999999999,933.47,5.0,13.0,8.0,7.25,2.875,5.0,3.0,6.0,3.0,4.5,1.0,3.0,121.0,170.0,49.0,148.5,18.5,121.0,1.5,1.66,0.15999999999999992,1.5924999999999998,0.046250000000000124,1.5,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,3.0,1.5,0.0,0.0,14.0,14.0,3.5,5.25,0.0,3.0,19.0,16.0,8.25,5.375,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,7.0,7.0,4.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,6.25,0.75,5.0,11.19,18.18,6.99,15.992500000000001,2.4012499999999997,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,228.0,1.5,225.0,1.5,0.25,3.0,3.5,False,0.006379563620851014,0.0008403918786251963
6,AlCrTaHf,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,73.0,60.0,45.5,27.0,13.0,45.0,73.0,28.0,53.75,9.625,45.0,26.9815386,180.94788,153.9663414,109.60387965000001,70.11506035000001,26.9815386,933.47,3290.0,2356.5299999999997,2227.3675000000003,670.6324999999999,933.47,4.0,13.0,9.0,7.0,3.0,4.0,3.0,6.0,3.0,4.75,1.25,3.0,121.0,175.0,54.0,151.25,21.25,121.0,1.3,1.66,0.3599999999999999,1.5174999999999998,0.1175,1.3,1.0,2.0,1.0,1.75,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.5,1.5,0.0,0.0,14.0,14.0,7.0,7.0,0.0,3.0,19.0,16.0,11.5,7.0,3.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,8.0,8.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.5,1.0,5.0,11.19,22.2,11.01,16.997500000000002,3.1625,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,219.25,12.625,194.0,1.75,0.25,2.5,7.0,False,0.031880743083437246,0.004724650253781562
7,AlCrZrTi,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,40.0,27.0,24.75,7.625,13.0,43.0,73.0,30.0,52.25,10.375,43.0,26.9815386,91.224,64.2424614,54.51715965,18.353420175000004,26.9815386,933.47,2180.0,1246.53,1795.6175,431.07374999999996,933.47,4.0,13.0,9.0,6.75,3.125,4.0,3.0,5.0,2.0,4.0,0.5,3.0,121.0,175.0,54.0,148.75,18.75,121.0,1.33,1.66,0.32999999999999985,1.535,0.10250000000000004,1.33,1.0,2.0,1.0,1.75,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.25,0.875,3.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,8.0,8.0,5.25,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.75,1.25,5.0,11.19,23.195,12.005,16.88875,3.1531250000000006,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.633333333325e-06,8.4499999999875e-06,0.0,194.0,229.0,35.0,210.5,16.5,194.0,1.75,0.25,2.25,0.0,False,0.0268577401186475,0.003917121176857198
8,AlCrZrMo,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,42.0,29.0,29.75,11.25,13.0,44.0,73.0,29.0,54.0,9.5,44.0,26.9815386,95.96,68.97846139999999,66.54040965,27.051590349999998,26.9815386,933.47,2896.0,1962.53,2034.3675,550.44875,933.47,4.0,13.0,9.0,7.25,2.875,4.0,3.0,5.0,2.0,4.25,0.75,3.0,121.0,175.0,54.0,147.25,17.25,121.0,1.33,2.16,0.8300000000000001,1.69,0.235,1.33,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.75,1.25,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,8.0,8.0,4.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.25,0.875,5.0,11.19,23.195,12.005,16.63875,3.278125000000001,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,219.25,12.625,194.0,1.5,0.25,3.0,0.0,False,0.1582102508344636,0.02115781711585235
9,AlCrZrV,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,40.0,27.0,25.0,7.5,13.0,44.0,73.0,29.0,53.0,10.0,44.0,26.9815386,91.224,64.2424614,55.285784650000004,17.969107675000004,26.9815386,933.47,2183.0,1249.53,1856.1175,461.32374999999996,933.47,4.0,13.0,9.0,7.0,3.0,4.0,3.0,5.0,2.0,4.0,0.5,3.0,121.0,175.0,54.0,147.0,17.0,121.0,1.33,1.66,0.32999999999999985,1.5574999999999999,0.11375000000000002,1.33,1.0,2.0,1.0,1.75,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.5,1.0,3.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,8.0,8.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.5,1.0,5.0,11.19,23.195,12.005,15.96875,3.8687500000000004,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,219.25,12.625,194.0,1.75,0.25,2.5,0.0,False,0.0268577401186475,0.004341590383789465
