,material,probability_C0,probability_C1,probability_C2,prediction
0,CrTaVPd,0.0015940223696906187,0.9976716409352391,0.0007343366950703583,SS
1,AlCrTaMoNb,0.12076112030789458,0.8786626894660778,0.0005761902260275455,SS
2,CrTaMoVPd,0.00948229465258091,0.9902301769134227,0.0002875284339964219,SS
3,CrZrTiHf,0.000563950539991956,0.9558369415330463,0.0435991079269617,SS
4,AlZrTiMoVNb,3.510978506242155e-05,0.9999228298076162,4.2060407321510736e-05,SS
5,ZrTiNbHf,2.7705487669920565e-06,0.9999959874881177,1.241963115389525e-06,SS
6,AlCrTiMoVHf,0.001465521630528698,0.9985121694732383,2.230889623299585e-05,SS
7,CrZrTiMoV,2.149011384143278e-05,0.001543451544168513,0.9984350583419901,SS+IM
8,CrZrVPdHf,0.007447414961283293,0.9917407557266655,0.0008118293120510651,SS
9,AlTiMoNb,0.00016349001587705054,0.9997944532420909,4.205674203207765e-05,SS
10,CrTaPdNb,4.233833325021657e-05,0.9615935763420462,0.03836408532470353,SS
11,CrTiMoVHf,2.7748953871306754e-06,0.31926607847995275,0.6807311466246599,SS+IM
12,AlZrTiMoPd,8.949488073320473e-05,0.9998825244364192,2.7980682847642173e-05,SS
13,AlCrTaZrVNb,0.0016611259196002207,0.9898464759631779,0.008492398117221934,SS
14,CrTaZrTiPdNb,8.727620803693227e-05,0.0020718474504788195,0.9978408763414842,SS+IM
15,AlCrTaZrVHf,0.004478567046067173,0.9948399232967352,0.0006815096571976017,SS
16,CrZrTiVNb,6.614148631300338e-06,1.3649433924948125e-05,0.9999797364174438,SS+IM
17,CrTaTiMoPdHf,1.4624659215289485e-05,0.9997768645874893,0.0002085107532954531,SS
18,AlCrZrMoPdHf,0.0005372914921110435,0.9990006227798242,0.00046208572806488013,SS
19,CrTaZrVPd,0.004594493448908648,0.994472704901737,0.0009328016493543109,SS
20,MoVPdNbHf,1.5251660611293694e-05,0.9998005785401476,0.00018416979924105545,SS
21,AlTiNbHf,1.0685330123290895e-05,0.9999849817365559,4.332933320722006e-06,SS
22,CrTaMoPdNbHf,1.5699199408057053e-05,0.998673198904744,0.0013111018958478669,SS
23,AlTaZrMoV,0.0007282649308253315,0.9992601419286301,1.1593140544554275e-05,SS
24,CrTaTiPdNb,1.2284579609250946e-05,0.9957851684232976,0.004202546997093314,SS
25,CrTaTiVPdNb,1.127397266104846e-05,0.9873894435126991,0.012599282514639853,SS
26,AlMoNbHf,0.00012414558125952487,0.9998622906430011,1.356377573929389e-05,SS
27,AlCrTaV,0.005490713688277518,0.9938105804066452,0.0006987059050774667,SS
28,AlZrTiVPdHf,0.4588241986159866,0.5411637297652387,1.2071618774565115e-05,SS
29,AlCrTaZrMoPd,0.00039942887935823316,0.9981448453873719,0.0014557257332698942,SS
30,TiMoVNb,1.761165274074408e-05,0.9999221786965425,6.0209650716702885e-05,SS
31,AlTaMoPdNbHf,1.6092102208524438e-05,0.6429596328428961,0.3570242750548952,SS
32,AlMoVNb,0.6231753941641018,0.3767799821160111,4.462371988696434e-05,IM
33,AlTaTiMoVHf,0.010325557648764729,0.9896638272798527,1.0615071382590915e-05,SS
34,AlTaZrTi,0.09866516682718954,0.9013203194179585,1.4513754851844644e-05,SS
35,AlTaZrMoVHf,0.018274886194540155,0.9817098156610817,1.5298144378204702e-05,SS
36,TaTiMoPdNbHf,8.566519427982328e-06,0.9987981182910466,0.0011933151895253292,SS
37,AlCrTaTiPd,3.497621273226759e-05,0.9999136506438717,5.137314339597268e-05,SS
38,TaTiMoVPd,3.927439257928199e-05,0.9997442184427545,0.00021650716466622324,SS
39,AlTaZrNb,0.00044702600492789777,0.9995418664633537,1.1107531718281815e-05,SS
40,AlCrZrTiPdNb,0.41633307888347676,0.00284001222146665,0.5808269088950567,SS+IM
41,AlCrTaZr,0.004963592757554615,0.6928339874459587,0.3022024197964868,SS
42,TaZrNbHf,0.009527376952435726,0.9904699247111195,2.6983364446994494e-06,SS
43,TaTiVPdHf,0.0038382668646926854,0.9961355078109387,2.622532436870925e-05,SS
44,CrZrMoNb,0.01094179810827699,0.2047480872665177,0.7843101146252054,SS+IM
45,AlCrTaMoVNb,0.08607856234124198,0.8811665091742245,0.03275492848453365,SS
46,CrTiMoVPdHf,0.00011472209058947419,0.9997929553345635,9.232257484701237e-05,SS
47,AlCrTaTiMoV,5.686313477526281e-05,0.9999232069174422,1.9929947782654092e-05,SS
48,CrTaZrVHf,0.004674340428939992,0.942626694188953,0.05269896538210695,SS
49,AlTaZrTiVNb,0.1765924619498211,0.823372668939215,3.486911096392282e-05,SS
50,CrTaZrMoNbHf,0.004614486209446473,0.3741129458731331,0.6212725679174204,SS+IM
51,AlCrPdNb,0.07662990447306989,0.9191232698571599,0.00424682566977021,SS
52,ZrTiMoVPd,0.11092949336647222,0.8889367380897888,0.00013376854373912752,SS
53,CrTiNbHf,5.128714607858958e-06,0.01442903333834328,0.9855658379470489,SS+IM
54,CrTaTiMoVHf,8.39566923786331e-06,0.8193972203631149,0.18059438396764735,SS
55,ZrMoPdHf,0.03306041693589218,0.9667213040811695,0.0002182789829381391,SS
56,AlZrTiPdNbHf,0.0031977529081878143,0.5499828997962948,0.4468193472955173,SS
57,ZrTiVHf,0.44280328440329036,0.557192491061916,4.2245347936370995e-06,SS
58,AlTaTiMoNb,5.242817660014388e-05,0.9999230477471599,2.4524076239979656e-05,SS
59,AlCrMoVPdHf,1.579033388343168e-05,0.999951080241299,3.312942481759699e-05,SS
60,ZrTiVPdNbHf,0.006967855127716274,0.9930040247853156,2.8120086968127942e-05,SS
61,CrTaTiVHf,7.860817202183119e-07,0.72960395670772,0.2703952572105597,SS
62,ZrMoNbHf,0.011755085513460847,0.9882347840153347,1.0130471204524897e-05,SS
63,AlCrTaTiMo,0.0004645719489613608,0.999522731894279,1.269615675964753e-05,SS
