,Composition_Formula,GBTPredict,AWEMLPredict,Composition
0,AlCrTaZr,1.0,1.0,Al1 Cr1 Ta1 Zr1
1,AlCrTaTi,1.0,1.0,Al1 Cr1 Ta1 Ti1
2,AlCrTaMo,1.0,1.0,Al1 Cr1 Ta1 Mo1
3,AlCrTaV,1.0,1.0,Al1 Cr1 Ta1 V1
4,AlCrTaPd,1.0,1.0,Al1 Cr1 Ta1 Pd1
5,AlCrTaNb,1.0,1.0,Al1 Cr1 Ta1 Nb1
6,AlCrTaHf,1.0,1.0,Al1 Cr1 Ta1 Hf1
7,AlCrZrTi,0.0,0.0,Al1 Cr1 Zr1 Ti1
8,AlCrZrMo,2.0,0.0,Al1 Cr1 Zr1 Mo1
9,AlCrZrV,0.0,1.0,Al1 Cr1 Zr1 V1
10,AlCrZrPd,2.0,1.0,Al1 Cr1 Zr1 Pd1
11,AlCrZrNb,2.0,2.0,Al1 Cr1 Zr1 Nb1
12,AlCrZrHf,1.0,1.0,Al1 Cr1 Zr1 Hf1
13,AlCrTiMo,2.0,0.0,Al1 Cr1 Ti1 Mo1
14,AlCrTiV,0.0,1.0,Al1 Cr1 Ti1 V1
15,AlCrTiPd,2.0,1.0,Al1 Cr1 Ti1 Pd1
16,AlCrTiNb,2.0,2.0,Al1 Cr1 Ti1 Nb1
17,AlCrTiHf,1.0,1.0,Al1 Cr1 Ti1 Hf1
18,AlCrMoV,0.0,0.0,Al1 Cr1 Mo1 V1
19,AlCrMoPd,2.0,0.0,Al1 Cr1 Mo1 Pd1
20,AlCrMoNb,1.0,0.0,Al1 Cr1 Mo1 Nb1
21,AlCrMoHf,1.0,1.0,Al1 Cr1 Mo1 Hf1
22,AlCrVPd,2.0,1.0,Al1 Cr1 V1 Pd1
23,AlCrVNb,2.0,0.0,Al1 Cr1 V1 Nb1
24,AlCrVHf,1.0,1.0,Al1 Cr1 V1 Hf1
25,AlCrPdNb,2.0,1.0,Al1 Cr1 Pd1 Nb1
26,AlCrPdHf,1.0,1.0,Al1 Cr1 Pd1 Hf1
27,AlCrNbHf,1.0,1.0,Al1 Cr1 Nb1 Hf1
28,AlTaZrTi,1.0,1.0,Al1 Ta1 Zr1 Ti1
29,AlTaZrMo,1.0,1.0,Al1 Ta1 Zr1 Mo1
30,AlTaZrV,1.0,1.0,Al1 Ta1 Zr1 V1
